,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Clinical Data Scientist (Manager),$115k-$182k (Glassdoor Est.),"ROLE SUMMARY
As part of the Data Monitoring and Management group, an integral delivery unit within the Global Product Development (GPD) organization, the Clinical Data Scientist is responsible for timely and high quality data management deliverables supporting the Pfizer portfolio. The Clinical Data Scientist designs, develops, and maintains key data management deliverables used to collect, review, monitor, and ensure the integrity of clinical data, oversees application of standards, data review and query management, and is accountable for quality study data set release and consistency in asset/submission data.

ROLE RESPONSIBILITIES
Serve as Clinical Data Scientist for one or more clinical trials assuming responsibility for all DM&M activities including selection and application of data acquisition standards, Data Management Plan, selection of quality risk indicators, third party study data due diligence
Participates and ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF, using an electronic data capture (EDC) system and/or other data collection systems.
Serve as a technical resource to the study teams for DM and RBM standards, tools, data provisioning, and reporting
Partners with Research/Business Units and any external DM service provider to deliver high quality data management for all studies as assigned.
Proactively drives quality and efficiency to meet timeline and milestones for data management, ensuring scientific and operational excellence in support of strategic imperatives and in collaboration with the cross functional study team (s).
Ensure work carried out by DM providers is in accordance with applicable SOPs and working practices.
Ensure the required study-specific DM&M documents in the Trial Master File (TMF) are of high quality and are filed contemporaneously.
Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring, data cleaning, e-data processing, data access and visualization, and database release.
QUALIFICATIONS
Proficient experience using Oracle Inform EDC software
Experience with Oracle DMW preferred
Working experience applying CDISC CDASH standards
Demonstrated successful experience in all relevant clinical data management activities in a BioPharmaceutical or CRO setting
Working knowledge of all phases of clinical trials and ability to assess and determine study requirement from protocol review
Strong Project and Risk Management
CRO and vendor oversight experience preferred
Strong verbal and written communication skills
Consistent, detail oriented, communicative, dedicated to do a job well done
Minimum 5 years Data Management experience required
Working knowledge of clinical research, FDA & ICH, GCP, GCDMP, and related regulatory requirements
Experience using data visualization tools (e.g. Spotfire, jReview)
Familiarity with MedDRA/WHO-Drug
Proficiency in the use of Microsoft Office Suite of tools (Outlook, Word, Excel, etc.)
Bachelor’s degree required or at least 15 years of relevant data management experience.
This role can be remote based but we prefer new hires to be located at one of the listed locations and be on-site at least 3 days per week.

The job location can be Collegeville PA, Peapack NJ, Groton CT, La Jolla CA, or Cambridge MA
Sunshine Act

Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider’s name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.
EEO & Employment Eligibility

Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer.
Medical",4.1,"Pfizer
4.1","Cambridge, MA",-1,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
1,"Data Scientist / Machine Learning / DL / AI - C++ / CUDA / Syracuse, N",$115k-$182k (Glassdoor Est.),"Description:At Lockheed Martin Rotary & Mission Systems, we are driven by innovation and integrity. We believe that by applying the highest standards of business ethics and visionary thinking, everything is within our reach and yours as a Lockheed Martin employee. Lockheed Martin values your skills, training and education. Come and experience your future!

Lockheed Martin Corporation's Rotary & Mission Systems (RMS) business is in search of an astute software engineering professional to join our team. The engineer will support multiple programs and participate in all phases of the software development lifecycle (design, code, and test). The engineer will leverage RMS software engineering processes and procedures while performing their respective software engineering and verification activities.

In this important role the software engineer will collaborate with other engineering disciplines and program personnel and will participate in cross functional six sigma style product or process improvement meetings. Keeping up-to-date on emerging technologies and tools will be encouraged.

Will be flexible, motivated, dedicated, detail-focused, team-oriented, and capable of multi-tasking. This position is for a SW engineer with extensive experience in the SW Architecture definition, design, implementation, integration and test of complex systems. Will be expected to provide focused technical leadership on domestic and/or international programs.
Basic Qualifications:
Must have the ability to obtain a DOD security clearance to at least the Secret level.

Primary object is to identify and hire a software engineer with strong artificial intelligence, machine learning and/or deep learning programming experience and expertise. Identified candidate will be assigned to a project focused on Cognitive-based Electronic Warfare capabilities. Experience with designing, training, optimizing and inferencing of neural networks is required. An applicable educational background in software systems and software development techniques is required. A proficiency in Object Oriented Programming (OOP) using C++ is required. Linux operating system experience is required. Expertise in Object Oriented Analysis (OOA), Object Oriented Design (OOD), and Rhapsody are required. The ability to be flexible, motivated, dedicated, detail-focused, and team-oriented is required. The ability to multi-task is required. Strong interpersonal skills are required. Strong written and verbal communication skills are required. The ability to collaborate effectively in a team environment is required.

Will have experiences in Real Time SW Development including: Radar, sonar or electronic warfare signal data processing; distributed multi-threaded concurrent SW Architectures and programming; the latest in interprocess communication approaches, technologies and HW architectures including COTS HW processing and COTS HW networking; SW integration and test of systems; experience working in, managing and configuring real time operating systems to include kernel development and HW/SW interfaces.

Software leadership skills will be required, and previous experience is preferred. Technical leadership of a team of embedded, real-time applied software engineers. Demonstrated ability to plan/schedule software tasking, plan and execute Agile-based development efforts while maintaining and using metrics to assess cost and schedule status.
Specific role will be focused on internal research and development (IR&D) projects in the Electronic Warfare (EW) domain. Preferred experience with both ELINT and COMINT aspects of EW. Significant portion of the I&RD effort is focused on developing Machine Learning and Deep Learning based solutions to be applied to next generation EW systems. Experience with any of the following is desired: GPGPUs, CUDA/DIGITS, neural networks, Python, and/or ML/DL Frameworks such as Caffe, Tensor Flow and TensorRT.
Desired Skills:
Solid analytical/debug and SW/HW integration and test skills are desired. Software development skills to include C/C++/C# and/or Java are desired. Familiarity with Digital and RF logic design and test is desired. Experience with test instrumentation and MILSTD HW protocols (e.g. 1553, ARINC) and other interfaces (e.g. VME, Fibre, Ethernet, PCI, JTAG/1149.1) is desired. Experience with Ada, DOORS, VxWorks, or UML modeling tools is a plus. Experience with formal software testing, verification, and validation is desirable. Real Time Embedded SW Engineering skills are desired.
BASIC QUALIFICATIONS:
job.Qualifications

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. Theyre dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martins vast team works with partners around the world to bring proven performance to our customers toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
EXPERIENCE LEVEL:
Experienced Professional",3.9,"Lockheed Martin
3.9","Liverpool, NY",-1,10000+ Employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
2,Certified Lab Scientist or Certified Lab Tech,$115k-$182k (Glassdoor Est.),"Prairie Ridge Health is looking for a team member to join or Lab Department in the role of Certified Lab Scientist or Certified Lab Tech. This position is PRN (as needed) and will be responsible for performing general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability...….

POSITION SUMMARY
Lab Scientist

The Medical Technologist performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Medical Technologist develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. May supervise others in the absence of the Laboratory Supervisor. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients

OR

Lab Tech

The Clinical Laboratory Technician I performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Clinical Laboratory Technician II develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients.

EDUCATION REQUIREMENTS/LICENSURE/CERTIFICATION/REGISTRATION

Lab Scientist

Bachelors’ degree in Medical Technology and graduate of an accredited Medical Technology Program.
Registered or eligible as a Medical Technologist (MT) or Clinical Laboratory Scientist (CLS) with a national accrediting agency (ASCP) or qualified as a MT/CLS having passed the Federal Equivalence Exam (HEW)
Meets the CLIA 88 requirements for individuals performing highly complex testing
CPR certification

OR

Lab Tech

Associate degree and completion of a 2 year CLT / Medical Laboratory Technician (MLT) training program.
Registered or eligible as a Clinical Laboratory Technician or Medical Laboratory Technician (MLT) with a national accrediting agency (ASCP).
Meets the CLIA 88 requirements for individuals performing highly complex testing.
A minimum of 1 year experience in a clinical laboratory performing highly complex testing is desired or a recent new graduate of an accredited school.
CPR certification

FTE: PRN (as needed)

Shift: As Needed

Powered by JazzHR

Ly3sHi576B",2.0,"Prairie Ridge Health
2.0","Columbus, WI",-1,51 to 200 Employees,-1,Hospital,-1,-1,Less than $1 million (USD),-1
3,Data Scientist - Medicare Advantage Generalist,$115k-$182k (Glassdoor Est.),"A bit about us:

We’re on a mission to change healthcare — how it’s paid for, delivered, experienced. We want to put people center stage, not process or profit. We are guided by a deep belief that every person on Medicare should be treated like we would treat a member of our own family: with loving care and a profound commitment to their health and well-being.

That’s why we’re gathering a whole bunch of smart, big-hearted people to create a new kind of healthcare company — one that combines compassion, health insurance, clinical care, and technology seamlessly.

We want to throw the long ball with people we love for a cause we believe in. Life is short. Join us.


A bit about this role:

We are looking for a data scientist who can serve as a liaison to our Operational teams to answer important and timely questions about the health of the business. We are looking for someone who has broad experience in Medicare Advantage analytics functions — e.g. Finance, Risk Adjustment, Stars, Pharmacy — and deep experience in at least one area. This role will report into our Data Science team, and will work alongside Product Managers, Software Engineers, and Business Leads to solve key challenges for the company.
Responsibilities will include:
Working closely with key business stakeholders to understand the analytical needs of the business and providing insight in a rapid, iterative, and collaborative process
Developing thoughtful reports and dashboards that help Operations teams improve their business decision-making
Identifying patterns in the analyses you conduct, and using those patterns to improve our tools and processes so we can deliver results more quickly and accurately
Sharing your domain knowledge with technical team-members who do not have an MA background
Communicating results to an audience of mixed technical backgrounds
Desired skills and experience:
Ability to work in a fast-paced startup environment
2+ years of technical work at a Medicare Advantage plan or service provider
Experience collaborating effectively with stakeholders
Experience with SQL
Experience with dashboarding and creating reports
Bonus: In-depth experience with Risk Adjustment
If you love running towards complex challenges and transforming them into solutions, if you want to make a potentially huge impact on many lives, and if you are looking for a disruptive startup with an inspiring and talented team, Devoted Health may be the place for you!

Devoted is an equal opportunity employer. We are committed to a safe and supportive work environment in which all employees have the opportunity to participate and contribute to the success of the business. We value diversity and collaboration. Individuals are respected for their skills, experience, and unique perspectives. This commitment is embodied in Devoted’s Code of Conduct, our company values and the way we do business.

As an Equal Opportunity Employer, the Company does not discriminate on the basis of race, color, religion, sex, pregnancy status, marital status, national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.",4.3,"Devoted Health
4.3",Remote,-1,201 to 500 Employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
4,Medical Technologist (MT) / Medical Laboratory Scientist (MLT),$115k-$182k (Glassdoor Est.),"Sampson Regional Medical Center is hiring a Medical Technologist to join the Laboratory team!

Description:
This is a full-time position. The selected candidate will perform various waived, moderately and highly complex hematologic, chemical, immunohematologic, immunologic/serologic, microscopic, and microbiological tests on specimens to obtain data for use in diagnosis or treatment of diseases. Additional responsibilities include obtaining specimens by capillary, arterial, and venous punctures; perform equipment maintenance, calibration, and troubleshooting; process histology specimens with additional training; participate in the quality assessment and improvement programs; provide guidance to technicians, assistants, phlebotomists and students; and provide services to patients of all age categories.

Requirements:

National certification as an MT/MLS by an approved agency is preferred
Individual must meet the Clinical Laboratory Improvement Act (CLIA) regulations for moderate and high complexity testing and must possess one of the following:
A bachelor's or associate's degree in medical technology or an appropriate biological, chemical, medical, or physical science from an accredited institution. This includes twelve (12) months of clinical laboratory training.
A satisfactory passing grade in a proficiency examination approved by HHS (HEW) and at least twelve (12) months of clinical laboratory experience.

Your Health, Our Passion!

IND123",2.2,"Sampson Regional Medical Center
2.2","Clinton, NC",-1,501 to 1000 Employees,1949,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
5,Digital Pathology Scientist,$115k-$182k (Glassdoor Est.),"Digital Pathology Scientist *
Description*
Mosaic Laboratories is looking for a full-time Digital Pathology Scientist. Mosaic Laboratories is a leading provider of pre-clinical and clinical trial laboratory services to pharmaceutical and biotechnology companies. This position will have significant interaction with Mosaic’s senior leadership and plays a key role driving financial reporting.
Job Responsibilities*
· Expertise in IHC, ISH, and digital pathology

· Design image analysis algorithms using Indica HALO or Aperio ImageScope

· Design image analysis algorithms using Akoya InForm to analyze multispectral images

· Design image analysis algorithms using Visiopharm or other commercial platforms

· Evaluate on-line image management systems and other software to support image analysis and hosting

· Work with pathologists to support them on image analysis projects

· Supervise a team of scanning assistants

· Run algorithms and export data and perform calculations in Excel

· Manually count positive and negative cells to validate image analysis algorithms

· Lead on-line presentations and calls to discuss image analysis algorithms with clients

· Keep detailed records of image analysis algorithm development and details about algorithms

· Contribute to SOPs, validation plans and study reports
Qualifications*
· MS or PhD in a related science

· 5+ years of experience in laboratory histology, IHC, and image analysis techniques

· Expertise in IHC and ISH with the ability to identify cancer, immune cells and normal cell types

· A strong working knowledge of immunophenotyping and other diagnostic biomarkers

· Expertise in designing image analysis algorithms using Indica HALO and Akoya InForm

· Experience with Visiopharm or other commercial platforms is beneficial, but not required

· Prior experience working with immuno-oncology

· Prior supervisor experience preferred

· A solid working knowledge of clinical pathology laboratory workflow

· Demonstrated experience in complex problem solving

· Organized, professional, detail oriented, and accurate documentation skills

· Ability to communicate through writing and oral presentation

This is a full-time, Monday-Friday, on-site, daytime position. The position requires that work be completed in our facility in Lake Forest, CA.

Mosaic Laboratories is an Equal Opportunity Employer. This company does not and will not discriminate in employment and personnel practices on the basis of race, sex, age, handicap, religion, national origin or any other basis prohibited by applicable law.

Job Type: Full-time

Pay: $30.00 - $37.00 per hour

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
COVID-19 policies are posted on our website.

Experience:
Akoya Inform Image Analysis: 2 years (Required)
IHC, ISH, and digital pathology: 5 years (Preferred)
Indica Halo or Visiopharm Image Analysis: 4 years (Preferred)
Presentation: 1 year (Preferred)
Supervisor: 2 years (Required)
Immuno-oncology or immunology: 5 years (Required)
Education:
Master's (Preferred)
Location:
Lake Forest, CA 92630 (Required)
Language:
English (Required)
Work authorization:
United States (Required)
Work Remotely:
No",3.5,"Mosaic Laboratories
3.5","Lake Forest, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1
6,"Sr. Scientist, T Cell Immunologist",$115k-$182k (Glassdoor Est.),"Sr. Scientist, T Cell Immunologist*
Mozart Therapeutics is an early-stage biopharmaceutical company located in Seattle, WA, focused on developing novel immune engagers that specifically target a subset of T lymphocytes to delay the onset and ameliorate targeted autoimmune diseases. The company is seeking a highly motivated and experienced individual who can work in a dynamic start-up environment to provide scientific leadership to a small pre-clinical immunotherapy research team for the discovery and development of therapeutic candidates in inflammatory and autoimmune disease.
Responsibilities: *
· Design, direct and perform pre-clinical studies to develop and advance novel therapeutic molecules for the treatment of patients with Celiac disease and other autoimmune diseases

· Perform data processing and analysis, integrate, interpret, and present data, make conclusions and propose next steps to advance project. Manage the routine reports and data analysis developed and maintained by other team members

· Work in coordination with team members to design and execute experimental protocols. Ensure that scientific rigor is applied to all studies: including controls, assays and techniques, reproducibility. Present experiments and data at research group meetings

· Perform other duties related to specific laboratory needs including: perform basic cell culture culture cells using sterile techniques; help maintain TC supplies, reagent qualification, testing, aliquotting as needed

· Provide project leadership & management of the implementation of the Research plan to include direct internal team and CROs on the execution of specific projects

· Will interpret data in a way that supports the identification of novel targets and approaches for next generation therapeutic molecules.

· Day to day operations will require independent judgment in the evaluation, selection, and adaptation/modification of standard techniques, procedures and criteria.
Qualifications: *
The successful Sr. Scientist candidate will have:

· PhD and minimum of 8 years relevant industry or academic research environment and a minimum 3 years of previous experience with discovery, validation and development of immune modulatory biologics;

· Expertise in human and mouse T cell immunology, signaling pathways, and molecular mechanisms of T cell functions

· Working knowledge of inflammatory & autoimmune disease, expertise in celiac disease preferred

· Working knowledge in target identification and validation

· Working expertise in in vitro assay development, complex flow analyses, execution and trouble shooting

· Experience in in vivo animals models a must, experience working with CROs preferred

· Strong analytical, troubleshooting, and decision-making skills

· Experience working in highly collaborative research environment

· Excellent critical thinking and scientific acumen, with a demonstrated ability to analyze, interpret, and clearly communicate (orally and in writing) complex data and their impact to program and research strategy

· A strong team player with a passion for science and helping discover and develop novel therapies for unmet medical needs

Mozart Therapeutics is an innovative, fast paced, collaborative culture looking to hire individuals who are seeking to make a significant contribution to advancing and developing novel immune engagers that target a subset of T lymphocytes to improve clinical outcomes in patients with autoimmune diseases. We are a _privately held biopharmaceutical company founded in 2020. We offer our employees competitive compensation and benefits, including paid time off, health insurance, life insurance and stock options._ We are an equal opportunity employer.

Job Type: Full-time

Benefits:
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Vision insurance
Schedule:
8 hour shift
Day shift
Education:
Doctorate (Required)
Experience:
Research Experience: 8 years (Required)
Work Remotely:
No",-1,Mozart Therapeutics,"Seattle, WA",-1,-1,-1,-1,-1,-1,-1,-1
7,"Associate Scientist, Virology (PhD Required)",$115k-$182k (Glassdoor Est.),"The associate scientist in virology will be involved in conducting infectious diseases research programs directed at developing novel broad-based host-targeted anti-viral and immunomodulatory therapeutics against influenza and other viral infections. The candidate will write scientific publications, grant and patent applications, and investigational new drug (IND) applications. The responsibilities of this position include developing and executing cell-based assays, _in vitro,_ _ex vivo_ and _in vivo_ to characterize biological mechanisms of action of novel immunotherapeutic product candidates for the treatment of infectious diseases. The associate scientist will have ample and documented experience in cell culture, virus generation and propagation, as well as molecular biology, immunology and biochemical techniques. We are looking for a highly motivated and collaborative individual with a passion for research who enjoys working in a fast-paced and highly dynamic working environment. The candidate will be aligned with four fundamental pillars of BTI's entrepreneurial corporate culture: 1) Be bold and decisive, 2) Never give up, 3) Be solution-oriented, and 4) Do the impossible.
Key Responsibilities: *
· _Experimental Design: _ Generate and test novel experimental hypotheses to advance discovery-based R&D at BTI. Propose controlled designs capable of robustly testing respective hypotheses to draw conclusions relevant to drug development research.

· _Data analysis: _ Utilize established and novel methods to analyze data. Data types will include but are not limited to flow cytometry results, high-throughput sequencing, protein biochemistry assays, and histopathology.

· _Data communication and reporting: _ Provide detailed reports of experimental results. Generate figures, presentations and publications to communicate results with scientific community, investors, and collaborators. Support the development of peer reviewed scientific publications, patents and grants relevant to ongoing research. Demonstrate innovation and strong problem-solving skills.

· _General Laboratory Procedures_: Perform various standard experimental assays including quantitative real-time PCR, Western blot, flow cytometry, and ELISA. Work in sterile conditions to conduct cell culture experiments and maintain the growth of cell lines. Express and purify recombinant protein. Collect and analyze generated data.

· _Personnel Training_: Training of BTI personnel on laboratory upkeep, experimental assays and research projects. Guide the personnel resourcing of projects and tasks.

· _Animal Procedures_: Conduct various IACUC approved laboratory animal procedures and techniques for BTI’s projects including but not limited to basic rodent handling, oral gavage, intraperitoneal injection, blood collection, and euthanasia. Interact with animal facility personnel to maintain organization and compliance of animal facilities. Will design new animal studies for projects related to therapeutic efficacy or mechanisms of action of new drugs for infectious diseases.

· _Virology_: Perform mammalian cell culture and independently develop, run, analyze and troubleshoot in vitro assays, such as cell-based activity assays, virus generation and propagation, and high throughput screening assays. Use developed screening assays to validate the characterize novel therapeutic products.

· _Teamwork_: Work independently and collaboratively in a matrixed environment. Be able to successfully work with other BTI team members in experiments.

· _Regulatory Compliance_: Support regulatory compliance efforts as instructed by the senior leadership in accordance with IACUC, IBC, and IRB protocols. Implement, organize and maintain regulatory compliance records.

· _Record keeping_: Timely documentation of experiments and activities in electronic archive systems. Keep detailed records of all activities, record these activities in Google Drive, laboratory notebook, the BTI’s Colony Management System (CMS), and Labkey. Provide weekly updates of the BTI research progress to the CSO, and BTI team. Maintains confidentiality of all data, information and knowledge.

· Maintain the confidentiality of all company deliberations and plans.

· Any new responsibilities or changes in the reporting structure as directed by the executive leadership.

· Act in accordance with Company’s policies.

Job Type: Full-time

Pay: $48,590.00 - $69,000.00 per year

Benefits:
Dental Insurance
Health Insurance
Vision Insurance
Schedule:
Monday to Friday
Weekends
Company's website:
www.biotherapeuticsinc.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,"BioTherapeutics, Inc.","Blacksburg, VA",-1,1 to 50 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),-1
8,Data Engineer (Active TS SCI with Polygraph),$115k-$182k (Glassdoor Est.),"Volume Integration, LLC partners with our customers to deliver leading edge ""Big Data"" analytics solutions.

By leveraging our teams' extensive experience in cloud capabilities and emerging technologies, we design and deploy custom solutions to unique and evolving challenges. Volume employees and their families are our number one priority, while also ensuring our customer's mission and success remain the primary focus and objective.

If you are a motivated individual willing to tackle challenging, and interesting problems in cyber security, big data, and machine learning, come be a part of our dynamic team!

Job Description

Volume Integration is seeking a highly motivated, self-directed professional to fill the role of Data Engineer. This position will be based at the customer site in the Reston, VA area. The applicant will be supporting a team of data scientists, and will be working with unstructured and structured data. Main tasks include Data Triage, Data Modeling, Data Cleansing, Data Staging and ETL.

Required Skills:
8+ years of experience in multiple modern program languages and data stores supporting activities listed in the position description.
Must be willing to learn new technologies.
Education Requirements:
Bachelor's degree with a technical focus
Desired Skills:

Experience with Data Science technologies
Excellent communication skills
Clearance Requirement;
Active TS SCI with Polygraph Clearance
Location:
Reston, VA
Many Volume positions require an active (or ability to obtain) U.S. Security Clearance, for which the US Government requires US Citizenship. Volume Integration, LLC. is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law.",4.4,"Volume Integration, LLC
4.4","Reston, VA",-1,51 to 200 Employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1
9,Research Scientist - Lactic Solutions,$115k-$182k (Glassdoor Est.),"The *Research Scientist - Lactic Solutions *will be part of a technical team involved in genetic engineering of lactic acid bacteria (LAB) for the production of fuels. This position will report directly to the *Senior Director of Lactic Solutions R&D at Mascoma*. The key activities for this position include metabolic engineering, heterologous protein expression, classical genetics, directed evolution, and development of strain screens and selections for specific applications of LAB. Specific responsibilities include:

· Using advanced molecular biology techniques to engineer lactic acid bacteria (LAB), analyze associated genotypes and phenotypes, and provide documentation of the process and results

· Training less experienced microbiologists and research associates to perform various procedures, particularly as they become routine analyses for the Bacterial Solutions Team.

· Developing and validating new methodology to answer technical questions as they arise.

· Participating in multi-disciplinarily projects and interacting with molecular biologists, bioprocess scientists, process engineers and protein scientists, to deliver high quality, timely data to help solve complex problems.

· Independently overseeing the design, implementation, collection, analysis and reporting of experiments.

· Authoring and reviewing reports, invention disclosures and patents relevant to our products.

· Presenting results to scientific and business audiences

· Authoring and reviewing SOPs for lab procedures and instruments as needed.

· Providing backup to other members of the Lactic Solutions Team.

The candidate will perform these duties in support of company goals and priorities in conjunction with the project leader and other team members, and will assist in solving difficult problems with insight, creativity, and skill.
Minimum Qualifications: *
· Ph.D. or M.S./B.S. with 3+ years of experience in molecular biology, microbiology, genetics, or biochemistry; internal candidates should currently be at RA-III level or higher.

· Ability to oversee Research Associates to meet corporate goals.

· Candidate should have good troubleshooting and multi-tasking skills to deal with technical problems.

· Ability to work on multiple and simultaneous projects as part of a team in a fast-paced industrial R&D setting.

· Have demonstrable experience in providing high quality, timely data while being able to prioritize new requests.

· Good written and oral communication skills

· Demonstrated ability to meet timelines
Preferred in an ideal candidate: *
· Strong core competency in molecular biology, with hands-on experience in the area of bacteria or yeast research. He/she will have work experience with techniques such as metabolic engineering and heterologous protein expression.

· Familiar with the analysis of metabolic flux and microbial physiology.

· Experience with modeling and conducting ethanol fermentations.

· Familiarity with biochemistry, enzyme assays.

· Familiarity with experimental design and statistics.

Have varied educational or industry lab experiences, enabling the development of new approaches to difficult problems.

Job Type: Full-time

Benefits:
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Professional Development Assistance
Relocation Assistance
Vision Insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus Pay
COVID-19 considerations:
Mascoma has established several practices to protect our employees from COVID-19. These include installation of plexiglass shields around work desks, daily fever check, social distancing, mask use, and regular hand washing.

Education:
Doctorate (Preferred)
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Innovative -- prefers working in unconventional ways or on tasks that require creativity
Company's website:
Lallemand.com
Company's Facebook page:
https://www.facebook.com/lallemandinc
Work Remotely:
No",3.4,"Lallemand
3.4","Lebanon, NH",-1,1001 to 5000 Employees,1895,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
