,Job Title,Salary Range,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst,-1,"Please do not apply through Glassdoor.
The only way you will be considered is if you follow the link at the bottom of the page and take a very short quiz.
What are we looking for?
We are looking for a technically savvy database-oriented Analyst with good people skills and the ability to pick up new business concepts and technologies.
The ideal candidate will possess:
At least 4 years of experience.
A strong to very strong working knowledge of SQL and Python.
An ability to write and troubleshoot complex SQL procedures.
The desire to understand business events through data.
An understanding of Data Warehousing and ETL techniques.
High level understanding in at least one scripting language such as Ruby, Shell, Python.
An interest in learning large data set processing with MapReduce/Hadoop/Pig/etc.
Linux skills are a plus.
Good client relations skills strongly preferred.
Who are we?
Raybeam, Inc. is a software engineering and consulting company focused on strategic consulting, business intelligence, and online/database marketing for the past fifteen years. We have offices near Boston and San Francisco and support a strong list of clients including Google, Facebook, Microsoft, eBay, Disney, One Kings Lane, Beachbody and Hilton Worldwide.
What do we do?
We provide technology solutions by architecting and developing enterprise systems using a variety of programming languages, tools and platforms. This can range from building data warehouses, to web applications to implementing reporting platforms. We work in small teams, own the projects that we work on, and have direct input into the business decisions of our clients.
What do you get from working for Raybeam?
A fun, supportive work environment that promotes camaraderie and growth.
The chance to travel and network with important figures in the industry.
The chance to have input into business decisions of our clients.
The opportunity to learn technologies that you've always wanted but never had the chance.
If you are interested in applying for the position please click on the link below to take a short quiz.
http://careerseval.raybeam.com/sign_in
Please note that Raybeam, Inc. is currently unable to provide sponsorship and we will only consider local candidates.
COVID-19 considerations:
Due to COVID, all employees are currently working remotely. When it is safe to do so, we will return to the office.",4.7,"Raybeam
4.7","Newburyport, MA",-1,51 to 200 Employees,1997,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
1,Data Analyst,"$34k-$61k
(Glassdoor Est.)","Job ID:
2015720
Location:
SCOTT AFB
,
IL
,
US
Date Posted: 2020-10-01 Category: Information Technology Subcategory: Database Support Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: Secret Clearance Level Must Be Able to Obtain: None Potential for Remote Work: No
Description We are currently seeking a motivated, career and customer oriented Airlift Data Analyst to join our team in Scott Air Force Base, IL, to begin an exciting and challenging career with SAIC. In this role you will compile, analyze and report air transportation movement data for the 618 Air Operations Center (AOC) Strategy Division.

Duties/Tasks and Responsibilities:
Identify and work to resolve observed cargo/passenger manifest discrepancies, including on-load/off-load analysis.
Produce and deliver customer requested products related to mission data.
Analyze airlift/air refueling sortie data via C2 systems to ensure accuracy of cargo/passenger detail
Evaluate internal processes and tools to identify improvement opportunities to streamline work and increase quality/accuracy
Conduct quality reviews of sortie analysis and data used to produce customer products to ensure accuracy
Keep training documents related to mission analysis and production products up to date
Maintain NIPR/SIPR accounts and monitor email on both systems throughout the assigned shift.
Interface with internal agencies to obtain or clarify data needed for product updates.
Additional Responsibilities Include, but are not limited To:
Assist with proposal development, if necessary.
Data research and analysis.
Proficiency with Microsoft Office products; ability to import, export, format, use formulas, craft emails, build slides etc.
Detail oriented and analytical abilities.
Desired: Three years' experience in the airlift and/or air refueling field. Basic understanding of how airlift missions are planning and executed.
Highly desired: Familiarity with AMC Command and Control (C2) systems such as Global Decision Support System (GDSS), Global Air Transportation Execution System (GATES), IDE/GTN Convergence (IGC), Single Mobility system (SMS), Joint Operational Planning and Execution System (JOPES).
Qualifications U.S. CITIZENSHIP REQUIRED

Active SECRET Security Clearance

Education/Experience: Associates degree and 3 years experience or equivalent.

Specific Experience:
Experience in analyzing data points from various input feeds, determining accuracy based on logic and/or business rules/policy.
Desired: Experience in utilizing air transportation or similar DOD Systems such as GDSS, GATES, IGC, SMS, and a variety of other tools and systems to determine passengers and cargo moving in support of the Department of Defense mission.
Knowledgeable in Air Transportation Cargo/Passenger policies, procedures, concepts, and practices.
Day Shift including weekends and holidays.
Must be able to effectively communicate with customer and fulfill all duties and responsibilities as listed in the contract.
Must be proficient in Microsoft Office suite including, but not limited to: Word, PowerPoint, Excel, and Outlook.
SAIC is a premier technology integrator solving our nation's modernization and readiness challenges. Our offerings across defense, space, civilian, and intelligence markets include high-end solutions in engineering, IT, and mission outcomes. We integrate the best components from our portfolio with our partner's ecosystem to deliver innovative and effective solutions. We are 25,500 strong; driven by mission, united by purpose, and inspired by opportunities. Headquartered in Reston, VA, SAIC has annual revenues of nearly $7.1 billion. For information, visit saic.com or Working at SAIC for benefits details.

SAIC is an Equal Opportunity Employer empowering people no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, or veteran status. We strive to create a diverse, inclusive and respectful work culture that values all.",3.8,"SAIC
3.8","Scott AFB, IL",-1,10000+ Employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),-1
2,Marketing Data Analyst,"$34k-$62k
(Glassdoor Est.)","Can you work in a relationship with other people where it requires ongoing flexibility?
Do you have an upbeat, positive attitude?
Do you take pride in knowing you are helping to make things happen?
If you can answer yes to these questions, Idaho Central Credit Union may have an opportunity ideally suited for you.
As a Marketing Data Analyst, your primary function is to interpret credit union data, analyze results and implement decisions based on the data. You will be responsible for turning data into information and insight that aids in campaign and business decisions. Also you will be responsible for performing a range of functions in support of market research, market assessment and campaign implementation.

Assist in managing technical aspects of key marketing systems (marketing automation, CRM, data warehouse) used to generate, distribute, and report.
Establish and maintain scalable processes that ensure best practices in campaign and lead management.
Create and maintain metrics reports on marketing and sales activities, effectiveness, and business impact.
Analyze marketing and sales data to develop insights and make recommendations on areas for optimization
Monitor and maintain data quality within the marketing database.
Evaluate new technologies and add-on applications to improve and optimize marketing team performance.
Manage membership targeting to strengthen relationships, prevent attrition, and increase profitability.
Leverage web and email engagement to create member insight and data to help improve individual experiences with our digital channels.
Generate and govern segmentation efforts by developing queries and custom reports, target groups, and campaigns for product and service performance.
Track all marketing campaigns and provide meaningful analysis and insight for future efforts.
Analyze consumer segments and other demographic information from the membership database to provide insight for product development, usage, and cross-sell opportunities.
Manage third-party vendor integration with marketing systems including Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Integrator MCIF, Encompass CRM and Microsoft Power BI.
Represent the Credit Union at community events as needed.

Bachelor’s Degree in Marketing, Mass Communication, Advertising or related field. 5-9 years of experience with database marketing required. Preferable experience with: Raddon Integrator MCIF, Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Microsoft Power BI, SQL, and data warehouse experience. Strong analytical skills. Proficiency in marketing automation systems and integrating those systems with other technologies. Technically capable, excellent communicator and a desire to improve processes. Math skills, Secondary-level computer knowledge including Microsoft Office, especially Excel and pivot tables, etc. Ability to maintain the confidentiality of Credit Union and member records at all times. A demonstrated cooperative and positive attitude toward members and other Credit Union staff. Professional in appearance, attendance, quality, and quantity of work performed. Ability to analyze member needs, develop, and coordinate marketing activities to fit member needs with Credit Union products and services. Must be willing to comply with the Bank Secrecy Act and USA Patriot Act as implemented by Idaho Central Credit Union. Team member will be asked to work extended/unique hours.
Perform tasks requiring manual dexterity (processing paperwork, filing, stapling, sorting, collating, typing, counting cash, etc.) Sit for extended periods of time. Lift 20-40 pounds of office supplies (copy paper, computer paper, mail, etc). Some heavy lifting may be required in order to execute proper event logistics. Repetitive motion using wrists, hands, and fingers. Reach keyboards. Ability to operate basic office machines (calculator, computer, telephone, copy machine, fax machine, etc).
Must be eligible for membership at Idaho Central Credit Union to obtain employment.
EOE/Minorities/Females/Vet/Disability
Idaho Central Credit Union is a dynamic financial institution that is focused on helping our members achieve financial success. Established in 1940 we have become the largest and fastest growing financial institution in the state of Idaho. ICCU was voted for large companies the Best Place to work in Idaho. We have also been named by S&P Global Market Intelligence as the top performing credit union in the nation. We are a talent based organization looking for talented individuals to help our members achieve financial success.",4.2,"Idaho Central Credit Union
4.2","Chubbuck, ID",-1,1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1
3,Web Data Analyst,"$65k-$79k
(Employer Est.)","Web Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Our customer promise is worth bragging about. Use your marketing and advertising expertise to spread the word and grow our business.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Collect web data and statistics for Uline’s various eCommerce websites (Uline.com, Uline.ca and Uline.mx).
Analyze data and provide weekly and monthly reports to management.
Make recommendations to improve website and reduce return rates.
Translate complex and analytical work into easy to understand data points.
Respond to ad hoc reporting requests and maintain relationships with various departments.

Minimum Requirements
Bachelor's degree.
Experience using Google Analytics or Adobe Analytics.
Experience using a data visualization tool such as Power BI or Tableau.
2+ years experience in website analysis.
Proficient in Microsoft Excel with some knowledge of SQL and / or Google BigQuery.
Well organized and detail-oriented with an ability to multitask.
Strong analytical and problem-solving skills.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-SR1
#CORP",3.5,"Uline
3.5","Milwaukee, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1
4,Data Analyst - Online Education,"$32k-$59k
(Glassdoor Est.)","THIS IS NOT A REMOTE POSITION


THIS POSITION WILL BE BASED OUT OF THE

TUCSON CORPORATE OFFICE

ESSENTIAL FUNCTIONS
Utilize advanced statistical abilities and tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive efforts.
Prepare reports and visualizations that effectively communicate trends, patterns, and predictions.
Assist with preparing, collecting, and analyzing quantitative (surveys, etc.) and qualitative (focus groups, etc.) data from students, faculty and staff.
Partner with stakeholders to gain a thorough understanding of needs.
Mine data from primary and secondary sources and reorganizes into a format that can be easily read by human or machine.
Work closely with IT in establishing data systems protocols for data needs.
Coach team members on how to use tools to their greatest benefit.
The list of essential functions is not exhaustive and may be supplemented.

MINIMUM QUALIFICATIONS
Bachelor’s Degree or higher, preferably in a computational field such as computer Science, Mathematics, Statistics, Physics, Engineering.
Three (3) years of experience working with large data sets or relational databases.
Three (3) years of experience with forecasting, trend analysis, and predictive modeling.
Demonstrated experience using SQL, Excel, R or Python, and visualization platforms such as Tableau or Power BI.
Experience working in higher education preferred.
Take initiative and ownership of projects.
Problem solving and analytical skills.
Business acumen.
Time management skills and able to prioritize and deliver projects and deliverables on time.
Comfortable working in a fast-paced, entrepreneurial environment.
Collaborative and team focused.",4.6,"Pima Medical Institute
4.6","Tucson, AZ",-1,1001 to 5000 Employees,1972,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1
5,"Senior Analyst, Data Analytics & Reporting","$91k-$153k
(Glassdoor Est.)","Company Overview

Outset Medical is a commercial-stage, privately held company delivering novel technology into the growing dialysis market that has had little innovation in over a decade. FDA-cleared across the continuum of care, Outset's Tablo Hemodialysis System is an all-in-one enterprise solution for dialysis featuring real-time water purification and dialysate production on demand in a single, compact unit. The simplicity, clinical versatility and operational flexibility of the system dramatically improves the care experience for patients and families while reducing for providers the cost and complexity historically associated with dialysis care. Patients and providers benefit from the easy to learn and use touchscreen interface, while automated reporting and machine management is enabled through Tablo's two-way wireless data transmission and proprietary cloud-based data analytics platform. Outset Medical is backed by a top-tier syndicate of investors, including D1 Capital Partners, Fidelity, Mubadala, Perceptive Advisors, T. Rowe Price, The Partner Fund, and Warburg Pincus.

Position Overview

The Sr Analyst, Data Analytics & Reporting will address needs related to strategic & ad hoc analysis requests, standard reporting & presentations as well as assigned projects that many span multiple functional areas. Analytics reports will be ad hoc as well as strategic based and will focus on such areas as: sales productivity & strategies, territory utilization & design, customer activation and marketing campaign measurement. Standard reports & presentations are analytically driven and are to be produced in an accurate, timely and reliable manner. Assigned projects and associated role will vary based on needs of the organization,

Essential Job Functions and Responsibilities
Perform strategic and ad hoc analysis:
Leverages data analytics tools to create new dashboards, reports, and any additional ad-hoc requests.
Executes existing reporting and analytical responsibilities.
Ensures the quality of work output by displaying a keen attention to detail.
Presents findings in easily understood ways, focuses on how the data analytics fits into the bigger picture.
Develop and execute on standard management reports and presentations
Design, prepare, analyze and distribute standard management reports & presentations that are facilitate business discussions via insightful, accurate, comprehensive and timely presentation of relevant data.
Enhance and streamline management reporting process by adopting best-in-class modern intelligence tools and improving data quality in partnership with stakeholders in risk management, technology and business teams.
Proactively identify areas of improvement and make recommendations for new programs and process improvements.
Provide project management and develop business requirements for assigned projects.
Lead or coordinate on projects that encompass cross-functional teams and disciplines.
Build relationships across the organization such that skills & experience can be applied in new ways to further success of the organization.
Develop business requirements that can be used by other teams to perform necessary development activities.
Requirements/Qualifications
Education and Experience (List degree requirements, years of experience, certifications, etc.).
S. in Computer Science, Math, Engineering, Finance, or related quantitative field
5+ years work experience with MS Excel, MS Access, SQL Server, Tableau or comparable database systems.
Proven ability to work across all levels of the organization.
Skills and Abilities - (List required skills and abilities).
Strategic entrepreneurial thinker, able to translate business strategy to support function
Deadline-driven, organized, detailed and able to multi-task with the willingness to adapt to the rapid business and organizational demands
Good analytical, communication (both verbal and written) and presentation skills
Desire to understand the ""why"" behind the numbers",4.5,"Outset Medical
4.5","San Jose, CA",-1,201 to 500 Employees,2012,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1
6,Data Analyst,-1,"Stockpile is an innovative fintech enabling financial prosperity for the entire population. We’re a high-growth, well-funded startup based in Palo Alto bringing world-class financial experiences to a continually growing customer base. Stockpile simplifies investing.

The Data Analyst will support our leadership and functional department teams with data analysis. The ideal candidate is adept at using large data sets to find opportunities for product, customer, market, and process optimization and using models to test the effectiveness of different courses of action. The role uses a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product, marketing and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Requirements
Strong problem solving skills with an emphasis on product and market development.
Experience using statistical computer languages (Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Coding knowledge and experience with several languages a huge advantage
Experience analyzing data from 3rd party providers: Google Analytics, Facebook Insights, etc.
Experience with MS Office products, Google Sheets, distributed data/computing tools (MySQL), Mode
Experience visualizing/presenting data for stakeholders
Preferably a graduate of courses in mathematics, statistics, computer science, finance, or economics.
Our Company culture allows us to build a strong collaborative workplace. A community, even when we are working from home, promotes the value of supporting one another no matter what the circumstance is - a priceless perk. Explore the opportunity with us and we'll show you.

Stockpile is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.


Third Party recruiters are NOT allowed to submit unsolicited resumes to this posting or directly to any Stockpile employees. Please be aware that Stockpile is not responsible for any candidate submitted without prior agreement.",3.5,"Stockpile
3.5","Palo Alto, CA",-1,1 to 50 Employees,-1,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1
7,Data Analyst,"$33k-$59k
(Glassdoor Est.)","Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.

You will:


Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Become an expert and go-to resource for our process flows and our operational data
Work with operations management to develop actionable operations performance dashboards across all areas of the organization
Perform ad-hoc data analysis to identify measurable improvements to our operation, and advocate for those improvements via presentations and reports
Maintain and improve operations forecasting models
Collaborate with Finance and Technology teams to ensure we are able to continue to effectively measure our operation as technology improves
Communicate effectively and efficiently across multiple teams and work groups
Requirements
You have strong analytical and problem-solving skills
You are used to tackling very loosely defined problems and still deliver high-quality output
Advanced proficiency in Excel, PowerPoint, and strong written and oral communication
Ability to adapt quickly to a changing environment
3-5 years of analyst experience
Bachelor's degree, with major in analytical or technical field strongly preferred
Experience with BI tools such as Looker or Tableau is a plus
Job Title: Data Analyst

Job Type: Full-time

FLSA Status: Exempt

Benefits

In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.

INSURANCE, PAID TIME OFF, & RETIREMENT

Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.

SOCIAL EVENTS

In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.

divvyDOSE provides equal employment opportunity to all qualified applicants regardless of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, genetic information, or veteran status, or other legally protected classification in the state in which a person is seeking employment. Applicants encouraged to confidentially self-identify when applying. Local applicants encouraged to apply. Drug-free work environment. Must be eligible to work in the United States.

Apply for this job",3.4,"divvyDOSE
3.4","Moline, IL",-1,201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
8,Business Analyst - Digital Data and Analytics Virtual Hiring Event,-1,"Kforce Hiring Event!

Event Details
Date: Tuesday, October 13, 2020

What We're Hiring For

Internal Audit

Director of Financial Planning & Analysis

IT Manager

Senior Financial Analyst

Accounting Manager

Accounts Payable Specialist

Tableau Consultant

Senior Internal Auditor

Payroll Manager

VP of Finance

Human Resource Generalist

Staff Accountant

API Architect

Application Systems Analyst

Mortgage Processor

Business Analyst - Digital Data and Analytics

Active Directory Engineer

Lead Developer

Intake Details:

What to bring to this event

Resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Business casual (dress pants/skirt, button down/blouse, optional tie).

About Kforce

Choosing a career is one of the hardest decisions you make in your life. And we are here to help. We’re here to understand you. Your goals. Your unique skills. Your purpose.

As a professional staffing and solutions firm, we specialize in building and managing Technology and Finance & Accounting teams across top employers nationwide. It’s our mission to help you achieve success by maintaining strong, lasting relationships.

We value your input. And because you tell us how to be better, we’ve earned the best reputation among our peers. We're honored to have top Glassdoor ratings, world-class Net Promoter® Scores (NPS) from both clients and consultants and top brand recognition among IT consultants.

As a Best of Staffing® Award winner for the last 5 years, our 2,000 career experts take pride in matching talented professionals with our world-class clients. We have relationships with cutting-edge companies, and they need experts like you.

Ready to take the next step in your career? Count on us to be your champion.

We Love What We Do. We Love Who We Serve.®

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

Kforce has a client in search of a Business Analyst - Digital Data Analytics in Benton Harbor, MI. Overview: You are able to lead technical digital data projects autonomously and unlock the value of data. You have a proven track record of establishing Data Engineering processes at previous companies and care deeply about using data to solve business problems. Duties:

Conceive, lead, and execute projects to manage an exceptional data access solution, supporting user requests from various stakeholder groups
Work with a wide range of business partners, particularly in GIS and product management, to develop innovative analytics solutions that address top outcomes, including feature development/enhancement, system health monitoring, testing, and troubleshooting
Building strong relationships with stakeholders and mentoring junior team members

Requirements

Bachelor's degree required
2 years of experience required
Experience working with web analytics and digital media performance data
Experience with or exposed to Google Analytics, Adobe DTM, Adobe Launch, data warehouse, data-lake or data virtualization solutions
Knowledgeable about data analysis/visualization tools such as Tableau
Knowledge and understanding of data governance challenges and best practices for website analytics tagging, metadata, data quality, and data stewardship
Know about data profiling or defining data quality rules - especially digital data collected digitally using Adobe Analytics, Google Analytics, Google Ads, etc.
Experience writing/editing internal communications or training-related materials in a corporate environment
Skilled in interpreting business measurement/reporting needs; Coordinate multiple stakeholder requests and project activities at any one time to ensure accurate, timely, and efficient reporting and analysis deliverables
Business analyst - able to synthesize data and draw insights; Able to present insights directly to business stakeholders
Understanding of digital data - like website analytics data and media analytics data

Preferred:

Experience working with multiple data sources - web data, SAP/HANA, CRM, etc.
Has experience combining different data sources into one report - either directly or leveraging a data team

Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.

Know someone perfect for this role? Recommend your friends and make money when they're hired using our app, KFORCEconnect. The more you refer, the more you earn! Download the app today to Connect. Refer. Get Paid.

Kforce is a solutions firm that builds and manages expert teams in technology and finance & accounting. We deliver on our client's objectives by combining a global knowledge force with flexible delivery and an unmatched drive for excellence. Kforce not only serves as a trusted partner to our customers, providing next level insights and powerful results, but also offers many consultants comprehensive benefits including medical, dental, 401(K), life insurance and disability.",4.1,"Kforce
4.1","Grand Rapids, MI",-1,10000+ Employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1
9,Treasury Data Analyst,"$46k-$82k
(Glassdoor Est.)","Requisition Number:
4141

Job Title:
Treasury Data Analyst

Location City:
Miami Lakes

Location State:
Florida

Job Description:
SUMMARY: The Treasury Analyst supports execution and provides ad hoc analysis across all treasury functions including risk management, funding & liquidity, forecasting, and reporting.

ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties and special projects may be assigned.

Analysis
Run long-term deposit analysis projects to identify opportunities to efficiently grow the retail deposit portfolio. This analysis will include developing, testing, and maintaining statistical behavioral models and reporting findings to senior management.
Develop reporting tools to streamline reporting and increase depth of understanding of customer behavior and customer lifetime value.
Develop adhoc analytics around liquidity management, funding alternatives and execution, and opportunity cost of different approaches to funding.

Reporting / Reconciliation
Enhance standard daily and periodic reporting and maintain process documentation for all relevant reports including funding mix/cost of funds and certain liquidity metrics.
Testing and implementation of new technology tools including Tableau dashboards and other platforms.
Develop new dashboard and key metrics to monitor liquidity and funding profile across various portfolios, time horizons, and markets.

Operations
Act as occasional back up for cash position reporting and exception pricing processing and escalation of non-standard pricing requests.
Maintain up-to-date process documentation around reporting processes including data sources and inputs.
Engage with different groups across IT, operations, and product development to enhance reporting, identify new data sources, and enhance the bank's understanding of customer behaviors.

EDUCATION and/or EXPERIENCE:
Bachelor's Degree in Business, Finance, Economics, Accounting, or related fields from an accredited institution
CFA or MsF preferred
Minimum 3 years in corporate treasury or financial services required
Alternate combination of education and experience may be considered
Experience with statistical modeling or econometric modeling including data management, model development, and interpreting and presenting results
Strong skills in MS Excel, MS PowerPoint, and ability to clearly communicate
Proficiency in statistical modeling/programming languages such as R, Python, or SQL required
Willingness to learn new analysis, querying, and data visualization programs required",3.0,"BankUnited
3.0","Miami Lakes, FL",-1,1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
