,Job Title,Salary Range,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Associate Data Scientist,"$62k-$112k
(Glassdoor Est.)","JOB SUMMARY
The Credit Services Risk Management team is a large and complex critical function for company success. We are staffed with highly-skilled and motivated individuals with a large emphasis on analytical abilities & problem solving skills. The Associate Data Scientist will build predictive models used for underwriting and/or collections functions. This person will research and recommend new data sources to improve models and design tests to measure the effectiveness for various strategies implemented.

MAJOR DUTIES AND RESPONSIBILITIES
Responsible for the entire end-to-end data science process from ETL to building models, to deploying the model into the workflows to measuring the financial impact.
Partner with others to implement models in production and conduct post-launch testing and enhancement
Actively and consistently support all efforts to simplify and enhance the customer experience
Responsible for the selection of appropriate algorithms and execution
Responsible for interpretation of results for both causal inferences and predictive effectiveness
Synthesize appropriate recommendations for action and changes
Present findings, suggested actions and changes to a broad audience, and manage follow-ups and execution
Help teach and explain techniques and tools used to a broad set of business-intelligence, data, and analytics professionals with varied backgrounds
Provide coaching and mentoring to achieve a high-performing team
Manage internal client relationships, including issue resolution, and overall accountability for results and client satisfaction
Exercise thought leadership and discretion in tailoring the tools, approaches, and data used to meet the needs of the particular problem
Perform other duties as required
REQUIRED QUALIFICATIONS
Predictive analysis experience using SAS/Python/R;
Experience in building Logistic Regression models, Random Forest models, XGBoost models, and Experimental Design.
Experience in data pre-processing and exploratory data analysis using a variety of techniques
Understand the theoretical background of each statistical test and model, inside and out.
Basic understanding of data architecture, data warehouse and data marts
Ability to communicate orally and in writing in a clear and straightforward manner
Ability to plan, prioritize and organize effectively
Ability to adapt to change
Detail oriented, self-motivated, proactive and results driven
Highly energetic; ability to partner across business lines; a go-getter who seeks out information and does not wait for others to reach out
PREFERRED QUALIFICATIONS
Strong expertise in SQL.
Experience in using large databases; conducting complex analysis using more than one languages above
Expert-level logical and analytic skills
Broad experience and solid theoretical foundation on the modeling process using a variety of algorithms
Demonstrated ability and desire to continually expand skill set, and learn from and teach others
Ability to explain complex analysis results in an easy-to-understand language
Advance skills in Excel, PowerPoint and Access
Excellent quantitative analysis skills
Ability to create conceptual frameworks enabling the analysis of varied business problems
Education
B.S. in quantitative sciences, including statistics, engineering, computer science, Business with focus on analytics. M.S. in Statistics or Data Science will be highly preferred

Related Work Experience
2+ years experience solving business problems through deep analytics and with predictive modeling techniques (with a Bachelors Degree) OR,
1+ years experience solving business problems through deep analytics (with a Masters Degree)
Industry experience in Financial services, insurance or actuarial services or medical research preferred but not required
WORKING CONDITIONS
Office Environment",3.0,"SPECTRUM
3.0","Stamford, CT",-1,10000+ Employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),-1
1,Data Scientist (Mid-Level) - 100% Remote Available,"$71k-$115k
(Glassdoor Est.)","Purpose of Job
**100% Remote Work Available**
USAA knows what it means to serve. We facilitate the financial security of millions of U.S. military members and their families. This singular mission requires a dedication to innovative thinking at every level.
In each of the past five years, we've been a top-40 Fortune 100 Best Companies to Work For®, and we've ranked among Victory Media's Top 10 Military Friendly® Employers 13 years straight. We embrace a robust veteran workforce and encourage veterans and veteran spouses to apply.
Uses advanced techniques that integrate traditional and non-traditional datasets and method to enable analytical solutions; Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications; participates in building analytical solutions leveraging internal and external applications to deliver value and create competitive advantage; Translates complex analytical and technical concepts to non-technical employees
Job Requirements
Partners with other analysts across the organization to fully define business problems and research questions; Supports SME's on cross functional matrixed teams to solve highly complex work critical to the organization.
Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.
Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives.
Supports Subject Matter Experts (SME's) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation.
Works with IT to research architecture for new products, services, and features.
Develops algorithms and supporting code such that research efforts are based on the highest quality data.
Translates complex analytical and technical concepts to non-technical employees to enable understanding and drive informed business decisions.
Minimum Requirements
Master's degree in Computer Science, Applied Mathematics, Quantitative Economics, Statistics, or related field. 6 additional years of related experience beyond the minimum required may be substituted in lieu of a degree.
4 or more years of related experience and accountability for complex tasks and/or projects required.
Proficient knowledge of the function/discipline and demonstrated application of knowledge, skills and abilities towards work products required.
Proficient level of business acumen in the areas of the business operations, industry practices and emerging trends required.
Preferred Requirements
Expertise in experimental design, advanced statistical analysis, and modeling to discover key relationships in data and applying that information to predict likely future outcomes; fluent in regression, classification, tree-based models, clustering methods, text mining, and neural networks.
Proven ability to enrich (add new information to) data, advise on appropriate course(s) of action to take based on results, summarize complex technical analysis for non-technical executive audiences, succinctly present visualizations of high dimensional data, and explain & justify the results of the analysis conducted.
Highly competent at data wrangling and data engineering in SQL and SAS as well as advanced machine learning (ML) techniques using Python; comfortable in cloud computing environments (Azure, GCP, AWS).
Hands-on experience developing products that utilize advanced machine learning techniques like deep learning in areas such as computer vision, Natural Language Processing (NLP), sensor data from the Internet of Things (IoT), and recommender systems; along with transitioning those solutions from the development environment into the production environment for full-time use.
PhD in Computer Science, Applied Mathematics, Quantitative Economics, Operations Research, Statistics, or related field with coursework in advanced Machine Learning techniques (Natural Language Processing, Deep Neural Networks, etc).
Fluent in deep learning frameworks and libraries (TensorFlow, Keras, PyTorch, etc).
Highly skilled in handling Big Data (Hadoop, Hive, Spark, Kafka, etc).
Experience in reinforcement learning, knowledge graphs and graph databases, Generative Adversarial Networks (GANs), semi-supervised learning, multi-task learning is a plus.
Experience in publishing at top ML, computer vision, NLP, or AI conferences and/or contributing to ML/AI-related open source projects and/or converting ML/AI papers into code is a plus.
The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.

At USAA our employees enjoy one of the best benefits package in the business, including a flexible business casual or casual dress environment, comprehensive medical, dental and vision plans, along with wellness and wealth building programs. Additionally, our career path planning and continuing education will assist you with your professional goals.

USAA also offers a variety of on-site services and conveniences to help you manage your work and personal life, including seven cafeterias, two company stores and three fitness centers.

Relocation assistance is available for this position.",3.6,"USAA
3.6","San Antonio, TX",-1,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1
2,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - ADVANCED INSPECTION SYSTEMS,"$58k-$101k
(Glassdoor Est.)","Who We Are:


The Intelligent Systems Division develops automated solutions for commercial and government clients in multiple domains including transportation (traffic management, connected automated vehicle), manufacturing robotics, medical prognostics and communication standards.


Objectives of this Role:

Leverage embedded development, machine learning, artificial intelligence and big data techniques to advanced analysis and development of high reliability software and custom sensing technologies.

Daily and Monthly Responsibilities:


Develop technical solutions for high reliability software and custom sensing applications.
Promote developed solutions in technical industry through conference presentations and/or research paper publications.
For more information about the position see:
https://www.swri.org/leak-detection
https://www.swri.org/industries/machine-learning-technologies
https://www.swri.org/industry/chemical-analysis-services/mass-spec-data-analysis

Requirements:


Requires an Bachelors or a Masters or a PhD with a 3.00 GPA in BS, MS, or PhD in Computer Engineering, Computer Science, Electrical Engineering, Mathematics or other related disciplines.
0-5 years in software development or engineering
Course work or experience in more than one of the following: embedded systems, signal processing, machine learning/artificial intelligence, FPGA development, sensors and instrumentation, Python Programming
Strong software skills
Excellent verbal and written communication skills required
Ability to work in project team environments and independently
Excellent problem-solving skills and driven by challenging problems
Aptitude for continuous learning and leadership potential
A valid/clear driver's license is required


Special Requirements:


Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information. Applicant must be a U.S. citizen.

Job Locations: San Antonio, Texas


For more information about this division, visit the Intelligent Systems home page.

An Equal Employment Opportunity/Affirmative Action Employer
Race/Color/Religion/Sex/Sexual Orientation/Gender Identity/National Origin/Disabled/Veteran
Committed to Diversity in the Workplace
If you need assistance, please Contact Us",4.0,"Southwest Research Institute
4.0","San Antonio, TX",-1,1001 to 5000 Employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),-1
3,Data Scientist,"$79k-$127k
(Glassdoor Est.)","Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA",-1,1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1
4,Data Scientist II,"$65k-$109k
(Glassdoor Est.)","Data Scientist II

Why YOU want this position

Since our founding as a groundbreaking provider of oil & gas data, we have evolved our solutions to cover oil & gas analytics, trading & risk, and business automation for customers across the energy industry. Enverus represents this growth, while bringing us closer together as one team. Enverus delivers business-critical insights to the global energy industry through a state-of-the-art SaaS platform built on industry-leading data and energy analytics. Our solutions deliver value across the entire energy value chain, empowering customers to be more agile, efficient and competitive. The range of energy industry participants we serve includes exploration and production (E&P) companies and related businesses such as oilfield services, midstream, capital markets, power generators and utilities, energy traders, and downstream commercial & industrial energy consumers.

We are currently seeking a highly driven Data Scientist II to join our Technology team in Conshohocken, PA, Denver, CO, Austin, TX or Calgary, AB. This role will support the efforts of the Data Science team by producing accurate data science models.

Performance Objectives

Build data products to solve business problems in the oil and gas industries.
Conduct independent research.
Manage the development of data science product features.
Mentor junior team members.
Partner with Data Engineers and Software Developers to evaluate the technical trade-offs of tools to build, simple, yet robust, data science pipelines.
Write well documented experiments and production-ready code.
Advanced degree in Computer Science, Data Science, Statistics, Mathematics, Operations Research or other quantitative discipline or Bachelor’s degree with 2-4 years related experience.
Previous experience working on data products.

Competitive Candidate

Familiarity with scrum and agile practices.
Ability to adapt to changing business priorities.
Solid coding skills in Python, R or Scala.
Experience to common Python data science libraries such as Pandas, NumPy, scikit-learn.
Solid understanding of Linus and git; Spark, PySpark, SparkR or Dask; cloud computing (AWS, Azure, Google Cloud).
Ability to apply Machine Learning, Optimization, Deep Learning or Big Data techniques to solve real-world problems.
Ability to conduct independent quantitative research.",3.6,"Enverus
3.6","Conshohocken, PA",-1,1001 to 5000 Employees,1999,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),-1
5,Senior Physiological Data Scientist,-1,"ABOUT US:

Embr Labs believes in harnessing the body’s natural response to temperature to enhance human wellbeing. We are a wellness tech company that has developed a unique, wearable thermal technology with therapeutic applications in both the consumer and regulated device sectors.

To date, Embr has sold over 65,000 devices to customers in 150 countries around the world. A mobile app and backend augment our hardware devices, forming a unique technology platform that combines thermal stimulation, digital interventions, and data to manage symptoms and treat disease. Our technology was invented by the company’s founders while at MIT; we are backed by DigiTx Partners, Safar Partners, Bose Ventures and Intel Capital, and we have partnered with companies like Johnson & Johnson.

‘EMBR’ stands for Environment, Mind, Body Resonance: we believe that technology can help us lead more balanced lives. Our workplace cultivates both fulfillment and fun. We are looking for an exceptional candidate to help us create a future where digital thermal interventions help people live better lives.

DESCRIPTION:

We seek a smart, energetic, and impact-oriented Senior Physiological Data Scientist. This is a strategic hire that will lead Embr Labs’ expansion into continuous physiological monitoring and real-time symptom detection.

Embr is now designing its next generation of innovative products where sensors and algorithms will be critical and offer a core competitive advantage. The Senior Physiological Data Scientist will lead a wide range of activities, from database design and machine learning to project management and technical leadership.

Collaborating with Embr’s senior technical leaders, and leading research collaborations, they will develop new technical capabilities for Embr Labs by taking early concepts all the way to productizable prototypes. For the first two years, the Senior Physiological Data Scientist will also hold a Visiting Scientist position with the Department of Kinesiology and Institute for Applied Life Sciences at the University of Massachusetts Amherst (UMass IALS).

RESPONSIBILITIES:
Provide technical leadership for sensor data-related research and development at Embr Labs
Oversee the development of new technical capabilities that utilize physiological monitoring
Develop R&D data infrastructure to transfer and store physiological data streams, including data pipelines and databases
Train, refine, and evaluate algorithms that identify symptoms and other physiological markers from sensor data
Collaborate with researchers and engineers to translate algorithms into low-latency embedded systems on actual prototype devices, and in the translation of successful prototype devices into actual commercial products
Ensure that physiological data projects are executed on schedule and on budget, and that collaborations with academic & industry partners are smooth and efficient.
IDEAL CANDIDATES WILL HAVE:
Deep technical expertise in biomedical informatics, data science, or biomedical engineering (Ph.D. or equivalent industry experience).
Experience working with physiological data from wearables or body sensors.
Proficiency in machine learning and deep learning for human physiology data.
Successful track record of taking algorithms from conception to implementation on products.
A self-starter personality and the ability to work with broad direction and little oversight.
Proficient in Python, Matlab, or R; Git; and SQL.
Excellent communication and teamwork skills.
Experience with relational and/or NoSQL database technologies, streaming data processing and data lakes is a plus.
THINGS YOU WILL GET:
A full-time position at Embr Labs, combined with a two-year Visiting Scientist position at UMass Amherst Department of Kinesiology & Institute for Applied Life Sciences.
The opportunity to make a transformative impact at a rapidly growing wellness tech startup company.
Constant exposure to interesting science and novel technology.
Ability to build relationships with other technology leaders in the emerging Digital Therapeutics ecosystem
A strong leadership team that encourages close collaboration; talented, open-minded team of contributing engineers.
A dynamic, exciting workplace with a flexible work environment
A caring team that values mutual respect and includes three MIT co-founders, one of the top female CEOs in the Boston tech scene, bright and thoughtful employees, and a small dog.
Competitive compensation, benefits, and equity in a fast-growing startup.
LOCATION:

This position is based at UMass in Amherst, Massachusetts for the first two years. Following the completion of the project with UMass IALS, the Senior Physiological Data Scientist will be given the opportunity to work from the Embr Labs office in Boston or to keep working remotely from Amherst.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Job Type: Full-time

Pay: $55,000.00 - $120,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Parental leave
Schedule:
Monday to Friday
Experience:
biomedical informatics or biomedical engineering: 5 years (Preferred)
Location:
Amherst, MA 01003 (Preferred)
Work authorization:
United States (Required)
Company's website:
www.embrlabs.com
Work Remotely:
Temporarily due to COVID-19",4.9,"Embr Labs, Inc
4.9","Amherst, MA",-1,1 to 50 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1
6,LEAD COMPUTER SCIENTIST - LEAD ENGINEER - PRINCIPAL ENGINEER - SPACE AVIONICS,"$77k-$150k
(Glassdoor Est.)","Who We Are:


As a recognized leader in space systems, SwRI develops avionics, data storage, and on-orbit processing electronics enabling next generation missions throughout the solar system.


Objectives of this Role:

As part of SwRI’s Space Avionics Flight Software Team, you’re work will benefit humankind through enabling scientific discoveries, improved weather forecasting, in-orbit satellite servicing, and revolutionizing on-orbit processing.

Daily and Monthly Responsibilities:


Lead, design, develop, and verify mission, spacecraft and instrument flight software for a variety of space applications applying sound software engineering disciplines and practices.
Perform and direct all phases of the system lifecycle including proposal development, applied research, requirements generation, design, implementation, testing, integration, installation, and documentation.
Perform software project management functions including project planning, cost and schedule development, progress tracking against plans, programmatic and technical reviews, etc.
Support related systems engineering activities and maintain relationships with other technical disciplines and project functional areas.
Interact and interface with clients including developing technical presentations. Travel to client and team organization facilities is required and varies by project.

Requirements:


Requires an Bachelors with a 3.00 GPA in Software Engineering, Software Development, Computer Engineering, Computer Science, or related
At least 8 years of direct experience designing software for high reliability embedded systems. Experience in working with hardware preferred
Must be able to work independently and in project team environments
Must have good organizational skills and attention to detail
Must be an embedded systems software designer/developer, have experience with real time operating systems, and be familiar with the design of real-time systems. Proficiency in C/C++ for embedded systems, including algorithm and data structure design required
Experience with networking/socket programming and Python, as well as, familiarity with VxWorks, embedded Linux, RTEMS OS for embedded systems
Interest and/or experience in working with hardware and direct space flight design experience a plus
Excellent Communication Skills and the ability to thrive in a collaborative team environment
A valid/clear driver's license is required


Special Requirements:


Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information. Applicant must be a U.S. citizen.

Job Locations: San Antonio, Texas | Austin, Texas


For more information about this division, visit the Space Science & Engineering home page.

An Equal Employment Opportunity/Affirmative Action Employer
Race/Color/Religion/Sex/Sexual Orientation/Gender Identity/National Origin/Disabled/Veteran
Committed to Diversity in the Workplace
If you need assistance, please Contact Us",4.0,"Southwest Research Institute
4.0","Austin, TX",-1,1001 to 5000 Employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),-1
7,Data Scientist,"$74k-$125k
(Glassdoor Est.)","Overview of Position
The Data Scientist analyzes & applies anonymized healthcare information to enable better healthcare outcomes & costs, for Change Healthcare, its customers and other key constituents.

What will be my duties and responsibilities in this job?

Analyze anonymized healthcare information to support Change Healthcare and our customers & partners objectives, which include better healthcare outcomes, improved effectiveness and efficiency, enhanced access for those who need care, and strengthened health and wellness for patients and consumers.
Create input for thought leadership projects that shape and advance the responsible use of data to improve healthcare in the US.
Analyze healthcare trends. Understand drivers for health & wellness for both individuals and the health ecosystem at large. Use this understanding to help create predictive models projecting future healthcare conditions, outcomes and economics.
Effective collaborator (within CHC and with customers). Success requires effective internal teamwork (IT, legal, account management, executives) and key external constituents.

What are the requirements needed for this position?

Minimum 6 years of experience in Data Solutions Field or related area.
Bachelor's degree required (ideally with strong concentration in statistics or programming.
Advanced SQL expertise with at least 1-2 years’ experience working with large datasets (30 million records +).
Expertise extracting large datasets and presenting in Excel or Spotfire.
Basic to intermediate understanding of statistics (predictions, statistical significance, normalization, etc.).
Ability to summarize complex insights in plain English (for eventual consumption by the business and/or customers).

What other skills/experience would be helpful to have?

Healthcare billing and/or clinical data experience highly desirable (but not necessary).
Ability to take initiative and work independently
Demonstrates curiosity/determination/iteration/innovation in using data to improve healthcare.
Experience matching/linking multiple datasets to create cohesive, longitudinal analytic datasets.
Ability to interpret abstract concepts to developer compelling insight, while ensuring their statistical validity.
Internal burning desire to succeed, yet a team player.

What are the working conditions and physical requirements of this job?

General office demands

#northwest

#southeast

#southeast2

Join our team today where we are creating a better coordinated, increasingly collaborative, and more efficient healthcare system!

Equal Opportunity/Affirmative Action Statement

Change Healthcare is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, genetic information, national origin, disability, or veteran status. To read more about employment discrimination protections under federal law, read EEO is the Law at https://www.eeoc.gov/employers/eeo-law-poster and the supplemental information at https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf.

If you need a reasonable accommodation to assist with your application for employment, please contact us by sending an email to applyaccommodations@changehealthcare.com with ""Applicant requesting reasonable accommodation"" as the subject. Resumes or CVs submitted to this email box will not be accepted.",2.8,"Change Healthcare
2.8","Nogales, AZ",-1,10000+ Employees,2007,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
8,"Senior Research Associate/Associate Scientist, Metabolic Immuno-Oncology","$38k-$71k
(Glassdoor Est.)","Senior Research Associate/Associate Scientist, Metabolic Immuno-Oncology
Location


Agios Pharmaceuticals HQ

Job Code

1271

# of openings

1

Apply Now

Senior Research Associate/Associate Scientist, Metabolic Immuno-Oncology

Agios (agios.com) is a biopharmaceutical company committed to applying our scientific leadership in cellular metabolism to transform the lives of patients with cancer and rare genetic diseases. We have an active research and discovery pipeline across both therapeutic areas. Agios has multiple first-in-class investigational therapies in clinical and/or preclinical development and has successfully launched two oncology precision medicines.

Agios Pharmaceuticals is searching for a dynamic Senior Research Associate/Associate Scientist to join our growing Immuno-Oncology team. The Senior Research Associate/Associate Scientist will collaborate cross-functionally with scientists at Agios to generate data to support the novel target discovery screens, validation of targets using both in vitro cell assays and in vivo mouse models of cancer and inflammation. The ideal candidate will integrate with project teams and contribute to study design, execution, data analysis and interpretation, and communication of results. A considerable level of independence is expected after the initial training period. This role requires a high degree of technical expertise as well as strong collaborative and written/verbal communication skills and a positive attitude to interact with multiple stakeholders.

Key Responsibilities
Develop and characterize immune-cancer cells co-culture assays to be used for genetic screens of novel therapeutic targets
Design and execute studies to support target validation using cell based models and assays
Identify methods, models, and technologies required to facilitate research and overcome scientific challenges and lead their development/optimization
Document, analyze, and interpret experimental data; present results and conclusions in a variety of team settings
Minimum Requirements
BS with 5+/MS with 2+ years of industry/academic experience working in a cancer biology or immunology team
Experience in isolation of primary immune cells and ex vivo assays of immune cell function (e.g. proliferation, differentiation, cytokine production)
Experienced with multi-color flow cytometry
Strong oral and written communication skills
Demonstrated ability to work independently in a cross-functional team environment
Ability to rapidly learn new techniques and technologies and perform them independently
Preferred Qualifications
Experience with mouse tumor models and/or models of acute immune activation
Experience with both shRNA and/or CRISPR techniques
Experience in molecular biology (nucleic acid purification, DNA cloning, PCR, gel electrophoresis, Western blotting, and qPCR)",4.2,"Agios Pharmaceuticals
4.2","Cambridge, MA",-1,501 to 1000 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1
9,Sr. Data Analyst/Modeler,"$39k-$69k
(Glassdoor Est.)","ORGANIZATION*
The Center for Autism and Related Disorders, LLC (CARD) is the world’s largest and most experienced organizations effectively treating individuals of all ages who are diagnosed with autism spectrum disorder. CARD strives to meet the growing need for services by continuously opening new offices throughout the country to provide top-quality ABA therapy across all populations.

CARD was founded in 1990 by leading autism expert and clinical psychologist Doreen Granpeesheh, PhD, BCBA-D. CARD treats individuals with ASD using the principles of applied behavior analysis (ABA), which is empirically proven to be the most effective method for treating individuals with ASD and recommended by the American Academy of Pediatrics and the US Surgeon General. With locations throughout US and internationally, CARD’s mission is to provide access to top-quality treatment all over the world. Through its network of trained technicians, behavior analysts, and researchers, CARD develops and implements quality, comprehensive, and individualized treatment programs that lead to success.
DESCRIPTION*
The Sr. Data Analyst is responsible for supporting the business users through the analysis of quantitative & qualitative data by designing database models both logical and physical. The position will perform in-depth data analysis; develop database models, database processes and functional analysis across various lines database methodologies specific to Business Intelligence. This role will provide oversight and on database design decisions, data models, best practices, and processes. The Data Analyst, will serve as a key liaison with business clients to support their reporting and analytic needs. You will require hands-on experience working in large scale business intelligence and data platforms. You will be working with business clients to gather requirements, prototype, architect, test, and deliver high quality Business Intelligence solutions.
DUTIES & RESPONSIBILITIES*
Experience with database and analytics tools on large, complex data sets, including use of SQL Queries (T-SQL), BI Cubes (SSRS/SSAS) Excel, PowerBI and relevant data mining tools.
Conducts data validations and analysis to assess the completeness and accuracy of data.
Identify, analyze, and interpret trends or patterns in complex data sets
Assist with data extraction, manipulation, and transformation based on requirements from stakeholders.
Assist with the maintenance of data sources, accounts, and datasets as it pertains to our data platforms
Analysis will include cleansing, transforming, validating or modeling data for improving data quality, design and presentation.
Work closely with internal Research teams, Analytics, and Technology teams as well as external vendors to ensure that data requirements can be met and executed
Summarize, document, and present analysis findings
Implement and represent CARD policy enthusiastically
Locate and define new process improvement opportunities
Represent CARD professionally and ethically to internal and external stakeholders
EXPERIENCE & QUALIFICATIONS*
BS in math, statistics, economics or related field preferred
Minimum of 5 years of experience as a Data Analyst
Minimum of 5 years of experience in advanced SQL queries and analysis.
Prior hands-on experience in using MS-SQL, ETL tools, Business Objects or other related BI tools
Excellent analytical skills
Able to communicate clearly and professionally with all levels of an organization.
Strong interpersonal, written and verbal communication skills with demonstrated ability to work in a team environment.
Ability to express complex technical concepts in business terms.
Proficient in designing database models (both logical and physical)
Familiarity with BI tools like Dundas BI or Power BI, etc.
JIRA required
Experience with Redshift
IND2

Job Type: Full-time

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Experience:
data analyst: 5 years (Required)
JIRA: 3 years (Required)
SQL: 5 years (Required)",2.9,"The Center for Autism and Related Disorders, LLC.
2.9","Plano, TX",-1,1001 to 5000 Employees,1990,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1
