,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Systems Analyst,$34k-$60k (Glassdoor Est.),"Ready to make an impact? If so, read on!

Would you like to be a part of the team that brings data innovation, Machine Learning and AI enabling to GEICO? We are looking for a highly motivated Data Systems Analyst to support the Data Science Development lifecycle process and help solve complex business problems using predictive analytics/modeling approaches.

Job Responsibilities:

As a Data Systems Analyst, you will work with Machine Learning Developers, Data Modelers, and the business to:

•Conduct requirement and systems analysis, translating business requirements and performance metrics into modeling requirements and metrics
•Clearly define and document business problems by conferring with clients; evaluating procedures and processes, and assessing existing metrics
•Facilitate solution-design sessions with Machine Learning Developers, Data Scientists and business stakeholders
•Coordinate with the Machine Learning Developers and Data Scientists to document analytics solutions, approaches and results
•Communicate and coordinate effectively with clients and other stakeholders
•Support systems design, testing and deployment of predictive models into production
•Conduct data / metric analysis, assess impact of a new solution on key metrics, and analyze potential value
•Monitor performance of deployed models and develop recommendations on model refresh
•Set up metrics plans, conduct analysis of results, and report findings
•Capture data from Enterprise Data Warehouse (EDW) and Hadoop using SQL
•Create and execute test plans to test model services
•Assist with agile process and project planning

Would you like to join our innovative team? If so, do you meet these qualifications?

Required Qualifications:

• A minimum of three years of progressive analysis/systems experience in large scale IT projects

• Bachelor’s degree in Statistics, Computer Sciences, Information Technology, Engineering, Management of Information Systems, or equivalent work experience

• Ability to support multiple projects simultaneously and work in a dynamic environment

• Experience working in an Agile team and familiarity with Agile project management practices

• Experience documenting business processes, requirements, and application test plans

• Working knowledge of SQL

• Experience conducting metrics analysis and reporting

• Strong critical thinking, decision-making and problem-solving skills

Desired Qualifications:

• Demonstrated experience with SQL scripting language

• Experience with process improvement

• Foundational understanding of Statistics and analysis of A/B tests

• Experience in R or Python programming language
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Indianapolis, IN office.

#LI-AM1
#DI-AM

About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

As a full-time Data Systems Analyst, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:

• Premier Medical, Dental and Vision Insurance with no waiting period**
• Paid Vacation, Sick and Parental Leave
• 401(k) Plan with Profit Sharing
• Tuition Reimbursement
• Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
*Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.",3.4,"GEICO
3.4","Indianapolis, IN",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
1,Marketing Data Analyst,$34k-$60k (Glassdoor Est.),"Description/Responsibilities


Position Summary:Nutrisystem is seeking a Marketing Data Analyst to join its growing Analytics community. This role will develop, manage, and deliver analytical solutions to solve complex business challenges. The Marketing Data Analyst will closely interact with online and offline Marketing, Product Development, Call Center Sales, Retail and Finance to influence key business decisions through fact-driven insights. The ideal candidate will possess excellent analytical and communication skills and have a history of thriving in fast- paced business environments.

Essential Duties and Responsibilities:

• Develop queries and performs extensive programming to access, transform and prepare data for analysis, ad-hoc and automated reporting and modeling. Create visualizations for variety of projects.

• Support ad-hoc analysis, discussions and conclusions around the efficacy of marketing channels to drive revenue per customer, length of stay and lifetime value.

• Analyze data to describe customer behavior and preferences, understand marketing channel effectiveness, diagnose customer experience problems, size marketing opportunity and measure the impact of marketing initiatives.

• Prepare and deliver insight presentations and recommendations. Communicates complex material in digestible terms appropriate for each audience. Educate company executives and the broader marketing team on analytical findings and implications using storytelling and data visualization techniques.

• Design analytic plans, translating business problems/opportunities into analytic approaches. Engage with project sponsors and stakeholders to understand each business question. Probe for hidden questions and goals. Bring structure to each request and translate requirements into the appropriate analytic approach.

• Participate in special projects and performs other duties as required.

Qualifications


• Bachelor’s degree in Data Science, Analytics, Operations Research, Information Technology, Computer Science or other quantitative field required. Master’s degree preferred.• Must have minimum of five (5) years of experience working in an analytical role with a history of taking on additional responsibilities with data analysis, measurement reporting

• Must have five (5) years of experience with SQL programming

• Must have minimum of three (3) years of experience working with relational databases and associated data query tools. Experience with cloud databases a plus (e.g. AWS Redshift, Google BigQuery, Snowflake).

• Must have proficiency in data visualization and report writing technologies using at least one of the following Business Intelligence tools Tableau, Power BI, QLIK or SAS. Knowledge of Looker preferred.

• Domain experience in marketing analytics: customer acquisition, digital marketing, response modeling, identifying customer needs, predicting customer behavior, next best offer, churn, customer lifetime value preferred

• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

• Excellent verbal and written communication skills. Experience presenting to senior executives distilling complex concepts into actionable recommendations

• Advanced Microsoft Excel skills including pivot tables, data manipulation and analysis

• Ability to work in a team-oriented environment.

About Tivity Health:

Tivity Health® (Nasdaq: TVTY) is a leading provider of healthy life-changing solutions, including SilverSneakers®, Nutrisystem®, Prime® Fitness, Wisely Well™, South Beach Diet® and WholeHealth Living®. We are actively addressing the social determinants of health, defined as the conditions in which we work, live and play. From improving health outcomes to reversing the narrative on inactivity, food insecurity, social isolation and loneliness, we are making a difference and are transforming the way we do health. Learn more at TivityHealth.com.

Tivity Health is an equal employment opportunity employer and is committed to a proactive program of diversity development. Tivity Health will continue to recruit, hire, train, and promote into all job levels without regard to race, religion, gender, marital status, familial status, national origin, age, mental or physical disability, sexual orientation, gender identity, source of income, or veteran status.",3.1,"Tivity Health
3.1","Fort Washington, PA",-1,501 to 1000 Employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
2,Data Analyst,$34k-$60k (Glassdoor Est.),"Rational is growing, and we need amazing talent to join our team. If you have an entrepreneurial attitude with a deep spirit of service and killer subject expertise, we want to talk to you. We are always looking for the next great consultant to raise the bar and push Rational to be better than we were yesterday. Staying hungry, curious, and looking forward to what’s next is part of our DNA.

This Data Analyst will be part of Rational's Technology & Data Practice and supporting one of our large biotech projects. This individual will provide strategic and tactical consultation, leadership in delivering solutions, and oversight of processes and systems.  The position requires solid technical foundation, domain knowledge, as well as strong verbal and written communication skills with a proven ability to clearly communicate technical information to a non-technical audience.

This is a full time position within Rational's Technology Practice. This position is not available for Visa sponsorship or C2C work.

What you will do:
Serve as the Business Analyst subject matter expert supporting, but not limited to Commercial portfolio
Network with a new and evolving IT environment, business team, and vendors to foster strong relationships and build partnerships
Understand strategy and how it translates to executable programs, projects, and efforts that align with strategic goals while taking the environmental constraints and opportunities into account
Collaborate with cross-functional professionals to deliver high-quality and innovative solutions that meet the business needs and create new opportunities
Provide analytic support of various levels of complexity including large, multi-year, cross-functional efforts with internal and external influencing factors
Negotiate conflicts and complex issues to an expeditious and satisfactory resolution
What you will bring:
3+ years of exposure to the orchestrating technology solutions for technical and/or Biotechnology or Pharmaceutical organizations
3+ years of experience in the Business Analysis or equivalent role with solution delivery and process improvement supporting cross-functional implementation of IT solutions in the Biotechnology or Pharmaceutical industry
3+ years of experience in organization financials, financial reporting
Familiarity with applications used in the business area such as Salesforce and Veeva
Working experience in SQL Server and Snowflake (preferred, but not required)
Proven knowledge of IT solutions and application management through various product cycles and evolving work environments
Demonstrated technical understanding of application architecture to include application servers, web servers, configuration files, relational databases, and reporting applications
Ability to proactively plan, organize, deliver with limited oversight, prioritize, and quickly adapt to changing situations
Excellent communication skills, including the ability to interface and influence internal and external partners at multiple organization levels
Strong interpersonal and negotiation skills, with a high degree of self-motivation and ability to work independently
Proficient in essential tools such as Power BI, Smartsheets, PowerPoint, Visio, etc.
Who you are:
Data Lover. You know your numbers and value the metrics behind the buyer story.
Collaborative to the Core. Demonstrated ability to work in a team environment, as a leader and member.
Well-rounded Professional. You have amazing communication and organizational skills along with high EQ.
Proactive. You are always thinking ahead about what is best for the Client.
Adaptable. Change happens at lightning speed; you are flexible, enjoy challenge, and get behind new ideas
Rational is a customer experience (CX) solutions firm that pairs the capabilities of a strategic consultancy with the creativity of a full-service digital agency. We design and activate compelling experiences that create strong connections between people and brands. We put humans at the center of business and partner with our clients to deliver meaningful experiences that help their customers while driving business success. Customer satisfaction at every level is our ultimate metric, and it's what drives our mindset, skillset, and company culture.

Incredible people are our non-negotiable. Our experienced team of consultants spans the globe. We love what we do, and who we do it with – let’s begin our next chapter together.

Rational is committed to ensuring all candidates have an equal opportunity to be considered for employment. Please let us know if you need any reasonable accommodation to participate in the job application or interview process.",2.7,"Rational
2.7","Redmond, WA",-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
3,Data Analysts- 2-5+ Years of Experience! Virtual Hiring Event,$34k-$60k (Glassdoor Est.),"Transurban Virtual Hiring Event! Live Chat With Hiring Managers!

Event Details
Date: Thursday, October 1, 2020

What We're Hiring For

Data Analysts- 2-5+ Years of Experience!

Financial Analysts- 2-5+ Years of Experience!

Intake Details:

Requirements

If you have ANY combination of the skills listed below- WE WANT TO MEET YOU!

Data Compliance, Financial Data Analytics, Financial Data Modeling & Reconciliation

Systems Data & Trend Analysis

Presentation of Analyzed Data

Tableau, SQL, Excel

Technical requirements

The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.

Smart Phone Tablet PC Laptop Internet Connection

What to bring to this event

Prior to Registering for this event-PLEASE send a copy of your resume to BKaliko@transurban.com

Review current job postings on our website

What to wear

Dress code is Please be comfortable but presentable!.

About Transurban

As one of the world’s largest toll-road operators, everything we do works to get people where they want to go, as quickly and safely as possible – from designing and building new roads to researching new vehicle and road safety technology.

Our community and sustainability activities include: developing apps and other tools to make travel easier; consulting with residents living near our roads and projects; building partnerships and providing community grants; and working with community groups to support customers going through tough times.

We also pioneer new solutions to manage our environmental impacts and help mitigate the impacts of climate change.

If the time slot that works best for you isn't available, please email Sara.Resti@hudsonrpo.com to see if we can accommodate you.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!",3.3,"Transurban
3.3","Tysons Corner, VA",-1,201 to 500 Employees,-1,Company - Public,Transportation Management,Transportation & Logistics,$1 to $2 billion (USD),-1
4,Program Data Analyst,$34k-$60k (Glassdoor Est.),"Travel Required: Less than 10%
Public Trust: NACI (T1)
Requisition Type: Regular

GDIT is seeking a Program/Data Analyst (SAS) to support The Army Public Health Center (APHC).

APHC's mission is to: Enhance Army readiness by identifying and assessing current and emerging health threats, developing and communicating public health solutions, and assuring the quality and effectiveness of the Army's Public Health Enterprise.

This position is based in Aberdeen and is 100% remote until COVID-19 pandemic restrictions are lifted.

In this role, a typical day will include:

Development and review of study protocols, critical literature reviews, direct participation in data collection, and interpretation of study results.
Creating, managing, and assessing databases critical to the mission as well as providing internal/external customer service support.
Utilizing these databases to design studies, answer inquiries, and produce reports.
Using major medical information systems such as MSS DataMart or MHS Data Repository (MDR) Composite Health Care System (CHCS) or AHLTA.
Performing analytical and inferential statistics to include risk ratios, odds ratios, ANOVA, T-test, chi 2, correlation, non-parametric tests, regression and logistic regression, and survival analysis.
Fluency with computerized database management and statistical software programs, particularly SAS, SPSS and R coding and database management.
Identifying critical outcome measures, both morbidity and mortality based, for the evaluation of the effectiveness of public health programs.
Comparing outcome objectives for disease prevention and health promotion programs which will enable comparison with other applicable benchmarks.

REQUIRED QUALIFICATIONS:

Bachelors of Science Degree in Public Health or related field
2+ years’ experience in healthcare related field and experience
Statistical software program experience required
US Citizenship
NACI(T1) Clearable

PREFERRED QUALIFICATIONS:

Master's Degree in Public Health related field
Familiarity with a variety of the field’s concepts, regulations, standards, practices and procedures, pertaining to Environmental Public Health
SAS Statistical software program experience preferred

#GDITPriority

#MilitaryHealthGDITJobs

We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.

GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.5,"General Dynamics Information Technology
3.5","Aberdeen Proving Ground, MD",-1,10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),-1
5,Tactical Data Link (TDL) Analyst,$34k-$60k (Glassdoor Est.),"Overview:

Oasis Systems has an exciting opportunity for a Tactical Data Link (TDL) Analyst located at Langley, AFB in Hampton, VA.

LOCATION: Langley, AFB

JOB STATUS: Full-Time

TRAVEL: N/A

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills):

SECURITY CLEARANCE: US Secret and NATO Secret

EDUCATION:Bachelor’s degree in a technical field (such as engineering, computer science, etc.).

OTHER QUALIFICATIONS/SKILLS:

• At least five (5) years recent experience (within past 10 years) in a job working formal operational and information exchange requirements development as they relate to fighter aircraft tactical data exchange.
• At least five (5) years recent experience (within past 10 years) in a job performing formal Multi-TDL configuration management (to include development and analysis of complex ICPs), data management, military standards management, and staff processes.
• At least five (5) years recent experience (within past 10 years) working with and exposure to Joint/Air Force doctrine and the NATO Consultation, Command and Control Board (C3B) and it subcommittees.

RESPONSIBILITIES:

• Develop Interface Control Proposals (ICPs) that make editorial and technical changes to current/future multi-TDL configuration items (US Military Standard (Mil-Std) 3011, 6011, 6016, 6017, 6020, MADL, Cursor on Target (CoT), etc.). Perform detailed technical analysis of ICPs as they relate to USAF platforms and systems.
• Provide technical multi-TDL expertise to support the integration of multi-TDL capabilities into USAF platforms and systems.
• Develop, or review previously-developed, bit-level implementation specifications for USAF platforms and systems. These implementations shall depict the total multi-TDL implementation requirements for the platform.
• Provide technical support at Technical Interchange Meetings and Design Reviews concerning multi-TDL implementations.
• Provide technical expertise to analyze concepts or problems with Air Force, Joint, or Coalition standards or implementation of those standards and provide solutions or recommendations in appropriate format as required.
• Support development of operational concepts and architectures that use existing and emerging capabilities in support of USAF platform/system information exchange, interoperability, and operational employment requirements. This support shall include participation in Integrated Product Teams (IPTs) and other working groups to address specific technical and operational issues.
• Provide analytical assessments addressing impacts on existing allied message standards and systems technical accuracy effect on doctrine and identification of potential problems and provide solutions and recommendations for implementation.
• Attend and provide technical support for Air Force, Joint and Coalition-related multi-TDL meetings.

Who We Are
Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.

We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.

Oasis Systems is an equal opportunity employer and does not discriminate in hiring or employment on the basis of any legally protected characteristic including, but not limited to, race, color, religion, national origin, marital status, gender, sexual orientation, ancestry, age, medical condition, military veteran status or on the basis of physical handicap which, with reasonable accommodation, render the application to satisfactorily perform the job available.",3.7,"Oasis Systems LLC
3.7","Hampton, VA",-1,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
6,Air Force and Navy Data Analysts Virtual Hiring Event,$34k-$60k (Glassdoor Est.),"Oasis Systems Hiring Event! Offers on the Spot!

Event Details
Date: Tuesday, September 29, 2020

What We're Hiring For

Air Force and Navy Data Analysts

Intake Details:

Requirements

Secret Clearance, BA Degree

Technical requirements

The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.

What to bring to this event

Updated resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About Oasis Systems

Oasis Systems is a leading technology services company providing a broad range of capabilities in Systems Engineering, Enterprise Systems and Applications, Information Technology, Cyber Security, Specialized Engineering Solutions, Human Factors Engineering, and Professional Services. Oasis creates sustainable value for mission critical programs with all Department of Defense Branches, FAA, NRC and other Federal Agencies. With people in 36 states and 10 countries Oasis delivers talent, innovation and intelligence for mission success.

Please Visit Our Page for more information!
https://www.oasissystems.com/

Our Career Page

https://oasiscareers-oasissystems.icims.com/jobs/intro?hashed=-435679158&mobile=false&width=1332&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

Air Force and Navy Data Analysts

We have openings in Virginia Beach and Langley AFB in Norfolk VA

https://oasiscareers-oasissystems.icims.com/jobs/search?ss=1&searchLocation=12781-12830-Virginia+Beach",3.7,"Oasis Systems
3.7","Hampton, VA",-1,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
7,Data Warehouse Technical Analyst,$34k-$60k (Glassdoor Est.),"IMT Insurance is hiring a Data Warehouse Technical Analyst in our Research and Development department to design, maintain, and provide support for data warehouse systems and other related data marts. This individual will also implement and enforce standards and procedures to ensure data is managed consistently and properly integrated within the warehouse. If you have strong time management and excellent communication skills, this position is for you!

A DAY IN THE LIFE:

Responsible for data warehouse design and configuration.
Ensures the accuracy and quality of warehouse data.
Map data between source systems, data warehouses, and data marts.
Develop data warehouse process models, including sourcing, loading, transformation, and extraction.
Defines user requirements and database design specifications.
Develop diagrams or flow charts of system operation.
Acts as a liaison between users, developers, DBAs and network administrators on data warehouse issues.
Interface with DBAs and security team on security and data masking needs.
Provides technical support and coordination during warehouse design, testing and movement to production.
Develop procedures for data management.
Responsible for coding and documenting procedures, and programming, testing and debugging data warehouses.

WHAT YOU’LL NEED:

Actively listens with strong oral and written communication skills
Ability to effectively manage multiple projects at once and prioritize
Maintain technical expertise and knowledge of current trends and techniques
Experienced with cloud-based solutions
Experienced with a programming or scripting language
Data base user interface and query software including SQL
Experienced with database infrastructure
Must possess the ability to work well with others
A college degree or equivalent needed to perform normal functions plus 5+ years of experience needed to perform the essential functions of the job.

Are you still wondering, ‘Why IMT?’ Well let me tell you more. We’ve been named a top workplace for seven years in a row because of the great people who work here. We also pride ourselves in being a family-orientated company, living true to the work/life balance lifestyle. Our employees benefit from a fun, but professional environment taking part in activities and events throughout the year that provides the perfect blend of social opportunities, personal and career development, and community involvement.

If want to learn more, I suggest you apply today!",4.4,"IMT Insurance
4.4","West Des Moines, IA",-1,201 to 500 Employees,1884,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
8,Accounting Data and Systems Analyst,$34k-$60k (Glassdoor Est.),"Make your mark. Our internal firm services focuses on the firm’s critical business needs. From marketing to internal accounting and everything in between, our integrated solution approach is designed to help enable and manage growth, leverage resources, and mitigate firm operations. At Plante Moran, we have a privilege of serving clients and providing consultative services as they face challenges and seek new opportunities.

Your role.

Your work will include, but not be limited to:

· Understand and report on financial data throughout various accounting systems.

· Work in a fast-paced environment as part of a team to support application administration for the various systems used in Internal Accounting and around the Firm for reporting, dashboards and alerts.

· Troubleshoot problems, resolve system issues and improve overall data quality and system usage experience for the Firm’s national and international entities.

· Participate in various system upgrades and implementation projects by collaborating with other internal teams such as Human Resources and Technology.

· Key resource for developing datasets, analyzing data and reporting inconsistencies, and communicating data limitations. Projects might include Firm budgeting, business rule verification and correction, and variance analysis across systems.

· Assisting 3400+ partners and staff with reporting and analysis requests or system needs and inquiries by being part of our internal helpdesk support solution.

· Design and provide support for ETL processes through SQL, Alteryx and Excel for the Internal Accounting department reporting, plan and analysis functions.

The qualifications.

· Accounting Skills desired

o Understanding of general ledger and associated journal entries

o Understands key performance measures and indicators that drive reporting and analytics

· Technology Skills required

o Understanding of relational database concepts

o Experience building and /or designing datasets, reports, or dashboards

o Advanced knowledge of Excel, as well as proficiency with MS office 365 suite

o Familiarity with SQL databases and coding, SQL Reporting Services, and/or Crystal Reports preferred

· Analytical abilities required

o Creative, critical thinking, and problem solving

o Strong troubleshooting skills.

o Analyze and organize data

o Understand internal processes and terminology

· Strong aptitude for technology with a desire to understand systems, challenge and streamline existing processes, and create new processes

· Experience with financial system management/maintenance preferred but not required.

· Strong time management skills and ability to meet deadlines.

· Strong interpersonal and communication skills required to:

o promote positive working relationships with diverse personalities/roles at all levels in the firm

o explain and interpret accounting/financial information to non-financial people

o Contribute to a positive team attitude and environment as well as project collaboration

· Bachelor’s degree in Accounting, Computer Sciences or a related field is required

· Qualified individuals must either reside in or near the Metro Detroit area or be willing to relocate to the area for this opportunity. This position may require some local and national travel.

Our difference.

We are a nationally recognized public accounting, consulting, and wealth management firm, consistently ranked as one of FORTUNE magazine’s “100 Best Companies to Work For.” At Plante Moran, we live by the Golden Rule, fostering a relatively “jerk-free” culture with the lowest staff turnover rate in the industry. Our supportive network of well-rounded professionals is excited to catapult your growth and help pave your pathway to professional excellence.

Apply now. Make your mark.

This is an exempt position, so you may have to work hours that exceed the standard 40-hour work week.

Plante Moran is an Equal Opportunity Employer, committed to a diverse workplace.

Interested applicants must submit their resume for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Candidates must be legally authorized to work in the United States without sponsorship, with the exception of candidates that are bilingual in Japanese and English. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and become the property of Plante Moran.

The specific statements above are not intended to be all-inclusive.",3.9,"Plante Moran
3.9","Southfield, MI",-1,1001 to 5000 Employees,1924,Company - Private,Accounting,Accounting & Legal,$500 million to $1 billion (USD),-1
9,Contract Data Analyst,$34k-$60k (Glassdoor Est.),"Overview:

Amyx is seeking to hire a Contract Data Analyst located in Rosslyn, VA. The successful candidate must have A 4-year course of study leading to a bachelor's degree with a major in any field, that includes or is supplemented by at least 24 semester hours in any combination of the following fields: accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization. Also, a minimum of 2 years of experience serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst

Responsibilities:

Responsibilities and Skills:

Knowledge of WAWF eBusiness processes.
Knowledge of the federal acquisition process.
Knowledge of contracting principles, laws regulation and procedures.
Knowledge of methods and techniques of fact-finding, analysis, and resolution of complex problems, and the ability to develop concrete action plans to solve problems.
Knowledge and Experience of the WAWF eBusienss Suite, to include: iRAPT, EDA, IUID, CDR, MyInvoice, and Contract Closeout.
Good verbal, analytical and written communication skills.
Good organizational skills in tracking data and actions.
Knowledge and Experience writing professional documents.
Knowledge and Experience in Customer Service.
Skilled in Business Intelligence Reporting.
Proficient in the use of the Microsoft suite of applications including Word, SharePoint, Excel, PowerPoint, Outlook, and Project as well as with Adobe Acrobat.

Supported Technologies:
Integrative Acquisition Environment
DOD acquisition system

Qualifications:

Required Skills and Qualifications:

Bachelor’s degree and preferred majors are accounting, business, finance, law, contracts, purchasing, economics, industrial management, marketing, quantitative methods or organization.
2 years of experience required in serving as a Federal government and/or contractor employee in the GS-1102 series or equivalent capacity as a contract specialist/administrator or procurement analyst.

Desired Skills and Qualifications:
Knowledge of Federal and DOD acquisition procedures

Amyx is an Equal Opportunity employer. Amyx is committed to providing equal employment opportunity to all job seekers. Every qualified applicant receives focused consideration for employment and no one is discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status. In addition to federal law requirements, Amyx complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Equal Opportunity Employer- Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. Amyx is an E-Verify employer.
Amyx proudly and proactively takes affirmative action to advance employment of individuals who are minorities, women, protected veterans and individuals with disabilities.
Physical Demands
Employee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential.",4.0,"Amyx, Inc.
4.0","Arlington, VA",-1,501 to 1000 Employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1
