,Job Title,Salary Range,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst,"$48k-$55k
(Employer Est.)","EMPLOYMENT VALUE PROPOSITION: Mental Health Center of Denver provides you with the support you need to help you develop a career in helping others succeed. We innovate, adapt, and leverage the diverse perspectives of the people on our team and the people we serve in everything we do.

Learn what it is like to work at the Mental Health Center of Denver:


STARTING SALARY: $48,006.40 - $55,016.00

Position Summary: Utilizes clinical services and operational data to assess outcomes and effectiveness associated with MHCD's service programs and operational processes. Collects data to answer evaluation and research questions that may arise from program requirements, management and/or staff. Develops summative and formative analytics and evaluation reports for delivery to staff, management, and external stakeholders. Position will primarily be assigned to our criminal justice programs, specifically a court/jail diversion program.

Essential job functions
Collects and prepares data for reporting as required under the research or evaluation plan using SQL and Excel.
Performs individual and group interviews with persons we serve, staff, and stakeholders.
Conducts analyses using SQL, Excel, and R
Prepares and submits analytic, research, and/or evaluation reports as needed
Develops presentations and documents
Writes sections of grants, papers, and other research materials
Interacts with managers and staff to review and edit reports as needed
Other duties as assigned.
Education: Minimum of bachelor's degree in statistics, social or behavioral research, or another related field.

Experience: Minimum of one-year experience with statistical analyses, data collection and processing, and\or program evaluation within a healthcare environment.

Skills and Competencies:
Proficiency with evaluation and research methods
Proficiency with T-SQL and R.
Proficiency with basic statistical techniques and data wrangling methods
Ability to communicate with both technical and non-technical audiences.
Commitment to high quality research and analyses.
Ability to organize and prioritize work, handle multiple assignments, and meet deadlines in an agile development environment.
SUPERVISORY RESPONSIBILITIES: No direct supervision of staff.

MACHINES AND EQUIPMENT TO BE USED: PC Computer, MS Office software, MS SQL Server Management Studio, Tableau, R

TYPICAL PHYSICAL DEMANDS: Requires sitting, standing, bending and reaching. May require lifting up to 50 pounds. Requires manual dexterity sufficient to operate standard office machines such as computers, fax machines, the telephone and other office and/or clinical equipment.

TYPICAL MENTAL DEMANDS: Ability to give, receive, and analyze information, formulate work plans, prepare written materials, and articulate goals and action plans. Must understand people from all walks of life and be able to communicate effectively with them.

WORKING CONDITIONS: May require occasional evening or weekend hours.",4.0,"Mental Health Center of Denver
4.0","Denver, CO",-1,501 to 1000 Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
1,Data Analyst,-1,"Position Number: 347630

Location: Saint Louis, MO 63146

Position Type: Temporary

Required Skill Set:
Data Analysis, JavaScript, Python, SAS, Spotfire

Position Description:
*C2C is not available**
*Only U.S. Citizens and those authorized to work in the U.S. can be considered as W2 candidates.**
Location: St. Louis, MO 63146
Duration: 6 months

Data Analyst
Knowledge in working with one or more of the following tools: SAS, Spotfire, J-Review, R, SAS, JavaScript, Python, or Perl
A thorough understanding of data standards
Filter, tag, join, parse, and normalize data sets for use in analytical models.
Create reports and dashboards from a versatility of data.
Work with data manager or steward to resolve data quality issues and with data scientists to understand their workflows and requirements.
Manage model degradation.
Ensure models remain predictive.
Good data wrangling, some statistics & linear algebra skills.
Create operative business insights for business stakeholders, and use the outputs of the Data Scientists in operative business.
Decomposition of complex problems, expert knowledge in data, tools, and methods, storytelling and communication, business acumen.
4-6 Years of Experience
Other locations considered:
Arlington, WI
Evansville, IN
Huxley, IA
Williamsburg, IA
Lubbock, TX
Monmouth, IL
Ankeny, IA",4.4,"Rose International
4.4","Saint Louis, MO",-1,1001 to 5000 Employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1
2,Data Analyst,"$59k-$73k
(Employer Est.)","Data Analyst

Job Details
Job Location
Yakima - Yakima, WA
Position Type
Full Time
Education Level
Bachelor's degree
Salary Range
$58,900.00 - $73,600.00 Salary/year
Job Shift
Day
Job Category
Information Technology
Description
Who is Comprehensive Healthcare?
Comprehensive Healthcare provides innovative behavioral health and integrated healthcare services to clients of all ages. We take pride in our creative and collaborative work environment and in delivering clinically excellent, trauma-informed, recovery-oriented services.

What are we looking for in a Data Analyst?
As a member of the Information Services department, the Data Analyst supports Comprehensive’s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. This position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. The work of the Data Analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. Previous experience performing data analytics in the healthcare field is required. The Data Analyst will work on-site in our Yakima office.

Data Analyst duties may include:
integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications
analyzing data to identify and interpret patterns or trends in data sets
performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements
assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements
supporting the implementation, testing, and validation of data & software systems
assisting with ongoing data architecture processes & governance
providing Tier II technical support to employees
documenting all work as it is completed
Qualifications:
Bachelor’s degree in computer science, data analytics, or related field
Three years of experience with data analysis within the healthcare industry
What Comprehensive Healthcare Can Offer You
Training and Development
A variety of career opportunities in a wide range of settings with room for mobility and promotion
Regular training opportunities including support, supervision, and consultation in implementing evidence-based services and programs
Innovative Program & Services
A strong reputation for providing quality, evidence-based services within a collaborative multi-disciplinary team environment
Innovative, forward-looking leadership that seeks to thrive in an ever-changing healthcare environment
Joint Commission-accredited organization committed to continuous quality improvement
Established partnerships with major research universities and other community and healthcare providers to implement cutting-edge treatment programs and services
Excellent Benefits
Competitive salaries within our communities and industry
Healthcare coverage for employee and qualified family members
Generous vacation, paid holiday and sick leave policies
Access to Employee Assistance Program services
Agency-funded retirement plan with contributions equal to 5% of compensation
Additional retirement investment opportunities with a 50% investment match of up to 4% of compensation
Agency-funded life and disability insurance program
Equal Opportunity Employer
Comprehensive Healthcare is proud to be an equal opportunity employer. We do not discriminate based on race, sex, age, color, religion, national origin, sexual orientation, gender identity or expression, marital status, veteran status, disability status, or any other basis prohibited by federal, state, or local law. We value the diverse perspectives and strengths that our employees bring to the workplace and we encourage individuals from underrepresented groups to apply for our positions. The Human Resources department offers accommodations and assistance for the application and interview process; please contact us at (509) 575-4084 to make arrangements.",3.3,"Comprehensive Healthcare
3.3","Yakima, WA",-1,501 to 1000 Employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
3,Data Analyst,"$50k-$88k
(Glassdoor Est.)","Rational is growing, and we need amazing talent to join our team. If you have an entrepreneurial attitude with a deep spirit of service and killer subject expertise, we want to talk to you. We are always looking for the next great consultant to raise the bar and push Rational to be better than we were yesterday. Staying hungry, curious, and looking forward to what’s next is part of our DNA.

This Data Analyst will be part of Rational's Technology & Data Practice and supporting one of our large biotech projects. This individual will provide strategic and tactical consultation, leadership in delivering solutions, and oversight of processes and systems.  The position requires solid technical foundation, domain knowledge, as well as strong verbal and written communication skills with a proven ability to clearly communicate technical information to a non-technical audience.

This is a full time position within Rational's Technology Practice. This position is not available for Visa sponsorship or C2C work.

What you will do:
Serve as the Business Analyst subject matter expert supporting, but not limited to Commercial portfolio
Network with a new and evolving IT environment, business team, and vendors to foster strong relationships and build partnerships
Understand strategy and how it translates to executable programs, projects, and efforts that align with strategic goals while taking the environmental constraints and opportunities into account
Collaborate with cross-functional professionals to deliver high-quality and innovative solutions that meet the business needs and create new opportunities
Provide analytic support of various levels of complexity including large, multi-year, cross-functional efforts with internal and external influencing factors
Negotiate conflicts and complex issues to an expeditious and satisfactory resolution
What you will bring:
3+ years of exposure to the orchestrating technology solutions for technical and/or Biotechnology or Pharmaceutical organizations
3+ years of experience in the Business Analysis or equivalent role with solution delivery and process improvement supporting cross-functional implementation of IT solutions in the Biotechnology or Pharmaceutical industry
3+ years of experience in organization financials, financial reporting
Familiarity with applications used in the business area such as Salesforce and Veeva
Working experience in SQL Server and Snowflake (preferred, but not required)
Proven knowledge of IT solutions and application management through various product cycles and evolving work environments
Demonstrated technical understanding of application architecture to include application servers, web servers, configuration files, relational databases, and reporting applications
Ability to proactively plan, organize, deliver with limited oversight, prioritize, and quickly adapt to changing situations
Excellent communication skills, including the ability to interface and influence internal and external partners at multiple organization levels
Strong interpersonal and negotiation skills, with a high degree of self-motivation and ability to work independently
Proficient in essential tools such as Power BI, Smartsheets, PowerPoint, Visio, etc.
Who you are:
Data Lover. You know your numbers and value the metrics behind the buyer story.
Collaborative to the Core. Demonstrated ability to work in a team environment, as a leader and member.
Well-rounded Professional. You have amazing communication and organizational skills along with high EQ.
Proactive. You are always thinking ahead about what is best for the Client.
Adaptable. Change happens at lightning speed; you are flexible, enjoy challenge, and get behind new ideas
Rational is a customer experience (CX) solutions firm that pairs the capabilities of a strategic consultancy with the creativity of a full-service digital agency. We design and activate compelling experiences that create strong connections between people and brands. We put humans at the center of business and partner with our clients to deliver meaningful experiences that help their customers while driving business success. Customer satisfaction at every level is our ultimate metric, and it's what drives our mindset, skillset, and company culture.

Incredible people are our non-negotiable. Our experienced team of consultants spans the globe. We love what we do, and who we do it with – let’s begin our next chapter together.

Rational is committed to ensuring all candidates have an equal opportunity to be considered for employment. Please let us know if you need any reasonable accommodation to participate in the job application or interview process.",2.7,"Rational
2.7","Redmond, WA",-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
4,Data Analyst,"$48k-$83k
(Glassdoor Est.)","Description/Responsibilities


Position Summary:Nutrisystem is seeking a Marketing Data Analyst to join its growing Analytics community. This role will develop, manage, and deliver analytical solutions to solve complex business challenges. The Marketing Data Analyst will closely interact with online and offline Marketing, Product Development, Call Center Sales, Retail and Finance to influence key business decisions through fact-driven insights. The ideal candidate will possess excellent analytical and communication skills and have a history of thriving in fast- paced business environments.

Essential Duties and Responsibilities:

• Develop queries and performs extensive programming to access, transform and prepare data for analysis, ad-hoc and automated reporting and modeling. Create visualizations for variety of projects.

• Support ad-hoc analysis, discussions and conclusions around the efficacy of marketing channels to drive revenue per customer, length of stay and lifetime value.

• Analyze data to describe customer behavior and preferences, understand marketing channel effectiveness, diagnose customer experience problems, size marketing opportunity and measure the impact of marketing initiatives.

• Prepare and deliver insight presentations and recommendations. Communicates complex material in digestible terms appropriate for each audience. Educate company executives and the broader marketing team on analytical findings and implications using storytelling and data visualization techniques.

• Design analytic plans, translating business problems/opportunities into analytic approaches. Engage with project sponsors and stakeholders to understand each business question. Probe for hidden questions and goals. Bring structure to each request and translate requirements into the appropriate analytic approach.

• Participate in special projects and performs other duties as required.

Qualifications


• Bachelor’s degree in Data Science, Analytics, Operations Research, Information Technology, Computer Science or other quantitative field required. Master’s degree preferred.• Must have minimum of five (5) years of experience working in an analytical role with a history of taking on additional responsibilities with data analysis, measurement reporting

• Must have five (5) years of experience with SQL programming

• Must have minimum of three (3) years of experience working with relational databases and associated data query tools. Experience with cloud databases a plus (e.g. AWS Redshift, Google BigQuery, Snowflake).

• Must have proficiency in data visualization and report writing technologies using at least one of the following Business Intelligence tools Tableau, Power BI, QLIK or SAS. Knowledge of Looker preferred.

• Domain experience in marketing analytics: customer acquisition, digital marketing, response modeling, identifying customer needs, predicting customer behavior, next best offer, churn, customer lifetime value preferred

• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

• Excellent verbal and written communication skills. Experience presenting to senior executives distilling complex concepts into actionable recommendations

• Advanced Microsoft Excel skills including pivot tables, data manipulation and analysis

• Ability to work in a team-oriented environment.

About Tivity Health:

Tivity Health® (Nasdaq: TVTY) is a leading provider of healthy life-changing solutions, including SilverSneakers®, Nutrisystem®, Prime® Fitness, Wisely Well™, South Beach Diet® and WholeHealth Living®. We are actively addressing the social determinants of health, defined as the conditions in which we work, live and play. From improving health outcomes to reversing the narrative on inactivity, food insecurity, social isolation and loneliness, we are making a difference and are transforming the way we do health. Learn more at TivityHealth.com.

Tivity Health is an equal employment opportunity employer and is committed to a proactive program of diversity development. Tivity Health will continue to recruit, hire, train, and promote into all job levels without regard to race, religion, gender, marital status, familial status, national origin, age, mental or physical disability, sexual orientation, gender identity, source of income, or veteran status.",3.1,"Tivity Health
3.1","Fort Washington, PA",-1,501 to 1000 Employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
5,Business Data Analyst (Mortgage Operations),"$41k-$82k
(Glassdoor Est.)","First Midwest, with assets over $20 billion, is the premier relationship-based banking franchise in the dynamic Chicagoland banking market. As one of the Chicago metropolitan area's largest independent bank holding companies, First Midwest provides the full range of commercial, retail banking, and wealth management services through some 120+ offices located in communities in metropolitan Chicago, Northwest Indiana, Central and Western Illinois, Eastern Iowa, and Southeast Wisconsin.

POSITION SUMMARY:

Working collaboratively with the management team, this position is responsible for creating and managing key periodic reports and ad hoc analyses in support of defined business objectives. This role will also champion the development and implementation of key initiatives within the line of business.

REQUIRED EDUCATION, EXPERIENCE AND SKILLS:
Bachelor’s degree preferred in some business discipline
5 years banking or related experience preferred
Advanced analysis and reporting experience required
In-depth knowledge of industry operating rules preferred
Ability to implement new procedures in response to, and in anticipation of, changes in the business environment desired
Possesses and applies comprehensive problem solving abilities for complex issues
High proficiency and analytical skills using Microsoft Office Suite of products required. Access Database and Excel graphing skills a plus.
Experience with financial reports and Falcon risk analytics a plus
Client focus and project management skills are required with an aptitude for creating operational efficiencies and positive client experiences
Demonstrated written and oral communication skills
Strong interpersonal skills
DUTIES/RESPONSIBILITIES:
Work collaboratively with the leadership team on the identification, development and ongoing refinement of periodic reports.
Proactively identify opportunities in support of defined business objectives by developing in-depth analyses.
Support the line of business data collection and distribution needs by working collaboratively with internal and external partners as needed.
Support the development and implementation of key initiatives within the line of business and maintain analytics related to impacts.
Assists in monthly planning, loss analysis, forecasting and variance reporting.

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.
Please view Equal Employment Opportunity Posters provided by OFCCP here and Supplement here.",3.5,"First Midwest Bank
3.5","Gurnee, IL",-1,1001 to 5000 Employees,1940,Company - Public,Banks & Credit Unions,Finance,$500 million to $1 billion (USD),-1
6,Epidemiologist- Data Analyst,-1,"Description

Instructs all levels of Enterprise-Wide information system managers and users, including but not limited to CHAS application users, on various epidemiology and database applications.

Coordinates database; create user profiles; query system to produce reports; perform data cleaning and quality control, and maintain data dictionary statistics.
Develop and implement empirically sound data analysis plans in keeping with evaluation and research questions.
Perform routine and complex statistical analysis, ensuring statistical integrity and efficiency using statistical software, such as Statistical Package Social Sciences (SPSS), R+, or Statistical Analysis Software (SAS).
Coordinate all data collection and entry activities, ensuring minimum data integrity standards and completion of tasks in a timely manner.
Identify data entry barriers, working with program staff to research and address issues.
Collaborate with staff to implement data entry plans, scheduling, and monitoring completion of tasks; recommend strategies for optimizing and integrating data across multiple platforms.
Analyze reports of data duplicates or other errors to provide ongoing appropriate communication with staff.
Generate routine and ad hoc reports, charts, and other department presentation materials.
Provide support to develop new data collection instruments and pilot testing.
Implement or support all research and program evaluation projects, including writing evaluation plans and research proposals, publications, and researching grant opportunities.
Update evaluation data; provide to staff requests for data; and conduct routine e-literature search.
Identify and interpret trends and patterns in complex data sets. Develop and conduct surveys and focus groups, and gather other forms of qualitative data, including participant recruitment, volunteer training, and scheduling.
Research and provide surveillance accounts of emerging research findings in the field as they relate to key areas.
Develop and design systems based or automated solutions to enable data collection, tracking, and reporting.
Engage operational and Line of Air Force (LAF) leadership and functional managers where necessary to identify and procure data sharing and user agreements.

Minimum Qualification and Experience:

Expert knowledge of statistical software to perform complex statistical analysis and to compute data, including regression and modeling, required.
Minimum of four (4) years of experience, preferably within the last five (5) years working in a similar public health role, conducting epidemiologic research and/or program evaluation and statistical analysis preferred.

Education: Master’s degree required in any one of these areas: Epidemiology, Biostatistics/Statistics, Public Health, or closely related fields.

The position is contingent on contract award.

CITIZENSHIP AND CLEARANCE REQUIREMENTS:

Must be eligible to work in the US.
Must be able to pass a National Agency Check with Inquiries (NACI).

ASI is an Equal Opportunity Employer. We E-Verify all employees.

Competitive market-based salary, commensurate with experience and education
Comprehensive benefits available (Medical, Dental, PTO, 401k etc).",2.5,"1st American
2.5","San Antonio, TX",-1,201 to 500 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
7,Member Data Analyst,"$43k-$77k
(Glassdoor Est.)","Blue Federal Credit Union employees work hard, have fun, and win for our members and each other! Our Member Data Analyst performs quantitative and qualitative research using statistics to analyze programs, products and services offered, market potential, competitive intelligence and industry standards to recommend and guide market efforts. Recommends marketing activity based on research and technical analysis. Independently drives data analysis and develops insights for use by management.
Directs central market research function, anticipates and evaluates useful market information, establishes standards for research methodology, and identifies opportunities to expand the scope of business.
Identifies, analyzes and interprets trends and patterns in complex data sets to develop recommendations to be used in promoting the organization and improving positioning, image and support within the target market.
Maintain appropriate databases and data systems for the department. Implements data collection systems and updates. Acquires and abstracts primary and secondary data from existing internal or external data sources.
Develops graphs, reports and presentations. Performs statistical analysis upon request. Creates and presents quality dashboards. 3-4 bullets on education and experience
Assists in development and production of direct marketing initiatives through analysis of target market universe, list development, design and production.
Must comply with applicable laws and regulations, including but not limited to, the Bank Secrecy Act, the Patriot Act, and the Office of Foreign Assets Control.
Experience: Three years to five years of similar or related experience, including preparatory experience.

Education/Certifications/Licenses: A college degree.

Interpersonal Skills: A significant level of trust, credibility and diplomacy is required. In-depth dialogues, conversations and explanations with customers, direct and indirect reports and outside vendors can be of a sensitive and/or highly confidential nature. Communications may involve motivating, influencing, educating and/or advising others on matters of significance.

Other Skills: Strong analytical spreadsheet and communication skills, demonstrated ability to handle multiple project simultaneously, new product development, packaging design, competitive analysis, consumer promotion, advertising media and copy, scan data analysis. Familiarity with MCIF systems, CD-ROM directories and market data on disc, survey research and statistical analysis software, mapping software, market research directories and online data services.",4.1,"Blue Federal Credit Union
4.1","Cheyenne, WY",-1,201 to 500 Employees,-1,Other Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
8,Marketing Data Analyst,"$34k-$62k
(Glassdoor Est.)","Can you work in a relationship with other people where it requires ongoing flexibility?
Do you have an upbeat, positive attitude?
Do you take pride in knowing you are helping to make things happen?
If you can answer yes to these questions, Idaho Central Credit Union may have an opportunity ideally suited for you.
As a Marketing Data Analyst, your primary function is to interpret credit union data, analyze results and implement decisions based on the data. You will be responsible for turning data into information and insight that aids in campaign and business decisions. Also you will be responsible for performing a range of functions in support of market research, market assessment and campaign implementation.

Assist in managing technical aspects of key marketing systems (marketing automation, CRM, data warehouse) used to generate, distribute, and report.
Establish and maintain scalable processes that ensure best practices in campaign and lead management.
Create and maintain metrics reports on marketing and sales activities, effectiveness, and business impact.
Analyze marketing and sales data to develop insights and make recommendations on areas for optimization
Monitor and maintain data quality within the marketing database.
Evaluate new technologies and add-on applications to improve and optimize marketing team performance.
Manage membership targeting to strengthen relationships, prevent attrition, and increase profitability.
Leverage web and email engagement to create member insight and data to help improve individual experiences with our digital channels.
Generate and govern segmentation efforts by developing queries and custom reports, target groups, and campaigns for product and service performance.
Track all marketing campaigns and provide meaningful analysis and insight for future efforts.
Analyze consumer segments and other demographic information from the membership database to provide insight for product development, usage, and cross-sell opportunities.
Manage third-party vendor integration with marketing systems including Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Integrator MCIF, Encompass CRM and Microsoft Power BI.
Represent the Credit Union at community events as needed.

Bachelor’s Degree in Marketing, Mass Communication, Advertising or related field. 5-9 years of experience with database marketing required. Preferable experience with: Raddon Integrator MCIF, Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Microsoft Power BI, SQL, and data warehouse experience. Strong analytical skills. Proficiency in marketing automation systems and integrating those systems with other technologies. Technically capable, excellent communicator and a desire to improve processes. Math skills, Secondary-level computer knowledge including Microsoft Office, especially Excel and pivot tables, etc. Ability to maintain the confidentiality of Credit Union and member records at all times. A demonstrated cooperative and positive attitude toward members and other Credit Union staff. Professional in appearance, attendance, quality, and quantity of work performed. Ability to analyze member needs, develop, and coordinate marketing activities to fit member needs with Credit Union products and services. Must be willing to comply with the Bank Secrecy Act and USA Patriot Act as implemented by Idaho Central Credit Union. Team member will be asked to work extended/unique hours.
Perform tasks requiring manual dexterity (processing paperwork, filing, stapling, sorting, collating, typing, counting cash, etc.) Sit for extended periods of time. Lift 20-40 pounds of office supplies (copy paper, computer paper, mail, etc). Some heavy lifting may be required in order to execute proper event logistics. Repetitive motion using wrists, hands, and fingers. Reach keyboards. Ability to operate basic office machines (calculator, computer, telephone, copy machine, fax machine, etc).
Must be eligible for membership at Idaho Central Credit Union to obtain employment.
EOE/Minorities/Females/Vet/Disability
Idaho Central Credit Union is a dynamic financial institution that is focused on helping our members achieve financial success. Established in 1940 we have become the largest and fastest growing financial institution in the state of Idaho. ICCU was voted for large companies the Best Place to work in Idaho. We have also been named by S&P Global Market Intelligence as the top performing credit union in the nation. We are a talent based organization looking for talented individuals to help our members achieve financial success.",4.2,"Idaho Central Credit Union
4.2","Chubbuck, ID",-1,1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1
9,Data Analyst,"$29k-$38k
(Glassdoor Est.)","Smith is an entrepreneurial company with global reach, a casual environment, and limitless paths for success. For over 35 years, we’ve offered a place for driven, creative people to set and achieve ambitious goals in sales, procurement, and our supporting departments.

Opportunities await around the world. If you’re curious to see how you can help Smith grow while pursuing the next step in your own growth and development, apply today.

This Data Analyst will be responsible for data mining and building mining data tables, along with researching external methods, processes and software to provide business solutions tailored to new trends, demands and concepts. This person will need to have experience with the ETL process and strong experience with working with data coming from various sources, channels and in different formats. The candidate will also need to have the ability to structure the data for a software architect, correspond directly with clients, project or department managers, and/or business leaders to identify analytical requirements. This person will also be working with Project Managers, Architects, DBA, and Data Scientists. He or she must be comfortable utilizing both quantitative data, and qualitative knowledge. Other typical functions include but are not limited to:
Perform routine trend analyses and evaluations.
Analyze audit findings, identify trends and assist in the development of programs.
Brainstorm and form effective solutions to business problems.
Develop, maintain and assist in the implementation of programs and business solutions.
Monitor correction action follow-up from audits in business units.
Provide status reports to management, identify problem areas and verify compliance.
Clean, update and aggregate the data into more operable formatting.
Required Skills:
Bachelors Degree in MIS and/or CS.
Experience with tools such as SQL, Oracle & MongoDB.
Any ETL too experience (ex: Informatica, Oracle Data Integrator or Warehouse Builder)
Ability to work with relational and non-relational databases.
Ability to handle multiple tasks simultaneously and switch between tasks quickly.
Ability to facilitate discussion, drive consensus and build partnerships.
Detail oriented and able to work in group projects and take direction.
Excellent verbal and written communication skill is a must.
Experience as a Business Analysis is preferable.
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",4.1,"N.F. Smith & Associates
4.1","Houston, TX",-1,201 to 500 Employees,1984,Company - Private,Wholesale,Business Services,$1 to $2 billion (USD),-1
