,Job Title,Salary Range,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,-1,"Back to search results
Previous job

Next job

JOB DESCRIPTION

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Mars Petcare Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of pets and pet owners to not only power Kinship’s businesses but also influence the next great ideas in the pet care space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, our pets, and pet owners everywhere. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply advanced analytics & data science approaches to understand and predict pet and pet owner behaviors
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and pet/pet owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are passionate about our mission: Shaping the Future of Pet Care. For all of our Kinship roles, we look for candidates who exemplify our core values. We believe what we do is just as important as how we do it, and we aim to hire people who are:
Optimistic
Purposefully Inquisitive
Open to All
And for this role, we hope you have the following skills we require to knock it out of the dog park:
Truly inspired by, and want to live, our purpose of creating a better world for pets.
4+ years’ experience in a data science role handling varied and complex data
Varied technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors, including packaged goods and retail
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how technical concepts to both non-technical and technical stakeholders.
WHY JOIN US?

We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds.

Kinship’s offices are global, and so are our associates. We are located in NYC, San Francisco, Portland, London, Helsinki, Shanghai, and in Moscow. Many of us flex between our dog-friendly hubs and our home offices. Today, Kinship offers exceptional benefits for you, your family, and your pets, generous paid time off, exponential opportunities to build a career within pet care, and progressive reward packages. Interested? Let’s take big strides, together.",4.0,"Mars
4.0",United States,-1,10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
1,Data Scientist,"$69k-$117k
(Glassdoor Est.)","The Data Scientist in Diversity and Inclusion will be part of a team working on ground floor change that will continue to strengthen St. Judes culture and work environment. We are looking for someone who is very analytical, has strong critical thinking skills, and is a strong communicator. This position will be responsible for using data to unlock trends, build predictive analytics, and provide key insights that are critical for the success of St. Jude operations. Using the data and trends, the selected individual will be presenting charts, graphs, and presentations to St. Jude management teams. The individual will collaborate with other Data Scientists at St. Jude and members of the Diversity and Inclusion team to gain domain knowledge across all areas of the hospital. If this position excites you, please apply and we look forward to reviewing your application.

Perform all data pre-processing steps including but not limited to collecting data in collaboration with Data Engineers, data cleansing, normalization, feature selection and dimensionality reduction

Develop machine learning models or use stochastic models

Document all technical and business aspects associated with each project
Master's degree in Statistics/Mathematics/Business Analytics or related fields is required
Four (4) years of experience in data analytics/reporting required, with at least two (2) of those years of experience in exclusive data science role
Two (2) years in a data scientist role required with a doctoral degree (PhD)
Must possess implementation experience of data science solutions using R/Python/Scala, Matlab, RapidMiner, SAS, Spark, Excel or related technologies
Clinical/Health Care domain experience preferred
Strong background in statistical analysis and root cause analysis is preferred
Strong verbal and written communication skills is preferred
R/Python/Data Scientist/other related certifications preferred
St. Jude is an Equal Opportunity Employer

No Search Firms:


St. Jude Children's Research Hospital does not accept unsolicited assistance from search firms for employment opportunities. Please do not call or email. All resumes submitted by search firms to any employee or other representative at St. Jude via email, the internet or in any form and/or method without a valid written search agreement in place and approved by HR will result in no fee being paid in the event the candidate is hired by St. Jude.",4.7,"St. Jude Children's Research Hospital
4.7","Memphis, TN",-1,1001 to 5000 Employees,1962,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1
2,Data Scientist,"$70k-$95k
(Glassdoor Est.)","Description

Position at Homes.com

Homes.com is looking for a Data Scientist in Norfolk, VA to join our team of IT professionals. You'll be working with our Business Intelligence Team to support and grow our premier real estate portal. You'll participate in technical research, developing models, data analysis, machine learning and be expected to bring your own ideas to the table to help keep us innovating.

Responsibilities:
Forecast site traffic for use in inventory calculations
Analyze and report on trends such as home valuations
Develop suggestion models
Help develop image classification models
Requirements:
BS or MS in computer science, data science, mathematics or other related field
2+ Years working as a Data Scientist
1+ Years Experience working with Time Series modeling
Experience working with Jupyter Notebooks
Experience working in R and Python
Experience providing Statistical Analysis
Nice to Haves:
Experience working in a cloud environment
Experience working with a relational database

About Homes.com

Homes.com offers today's demanding home buyers, renters and those somewhere in between a simply smarter home search. With features like Homes.com Match, HomeShare and Snap & Search, homeshoppers now have a more personalized way to search for their next home. Since its launch over 25 years ago, Homes.com offers real estate professionals brand and property advertising, search engine marketing and instant response lead generation to help them succeed online. For more information, visit Homes.com.

About DE

Dominion Enterprises (DE) is a leading digital marketing and software services company offering client solutions across multiple business verticals. Our customers rely on our B2B cloud SaaS solutions to establish their online and mobile brands, generate leads, and manage customer relationships through our Homes.com, Dominion Dealer Solutions, Dominion Business Solutions / DX1, Travel Media and Franchise and Business Opportunity divisions. Our B2C web and mobile applications include Homes.com, HotelCoupons.com, FranchiseOpportunities.com, FranchiseGator.com, Franchise.com, and BusinessBroker.net.
About 2,000 employees reside and work in our Norfolk, VA home office and in offices across the U.S. Our employees will tell you about our collaborative, innovative, team-oriented work environment, excellent career enrichment opportunities, community service opportunities, competitive earnings, and a comprehensive benefits package that includes a generous 401(k). DE is an equal opportunity employer and supports a diverse workforce. DE is a drug-testing employer.",4.2,"Homes.com
4.2","Norfolk, VA",-1,201 to 500 Employees,1998,Company - Private,Real Estate,Real Estate,$50 to $100 million (USD),-1
3,Member Data Analyst,"$43k-$77k
(Glassdoor Est.)","Blue Federal Credit Union employees work hard, have fun, and win for our members and each other! Our Member Data Analyst performs quantitative and qualitative research using statistics to analyze programs, products and services offered, market potential, competitive intelligence and industry standards to recommend and guide market efforts. Recommends marketing activity based on research and technical analysis. Independently drives data analysis and develops insights for use by management.
Directs central market research function, anticipates and evaluates useful market information, establishes standards for research methodology, and identifies opportunities to expand the scope of business.
Identifies, analyzes and interprets trends and patterns in complex data sets to develop recommendations to be used in promoting the organization and improving positioning, image and support within the target market.
Maintain appropriate databases and data systems for the department. Implements data collection systems and updates. Acquires and abstracts primary and secondary data from existing internal or external data sources.
Develops graphs, reports and presentations. Performs statistical analysis upon request. Creates and presents quality dashboards. 3-4 bullets on education and experience
Assists in development and production of direct marketing initiatives through analysis of target market universe, list development, design and production.
Must comply with applicable laws and regulations, including but not limited to, the Bank Secrecy Act, the Patriot Act, and the Office of Foreign Assets Control.
Experience: Three years to five years of similar or related experience, including preparatory experience.

Education/Certifications/Licenses: A college degree.

Interpersonal Skills: A significant level of trust, credibility and diplomacy is required. In-depth dialogues, conversations and explanations with customers, direct and indirect reports and outside vendors can be of a sensitive and/or highly confidential nature. Communications may involve motivating, influencing, educating and/or advising others on matters of significance.

Other Skills: Strong analytical spreadsheet and communication skills, demonstrated ability to handle multiple project simultaneously, new product development, packaging design, competitive analysis, consumer promotion, advertising media and copy, scan data analysis. Familiarity with MCIF systems, CD-ROM directories and market data on disc, survey research and statistical analysis software, mapping software, market research directories and online data services.",4.1,"Blue Federal Credit Union
4.1","Cheyenne, WY",-1,201 to 500 Employees,-1,Other Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
4,Data Scientist,-1,"TACG is a driven Alaskan Native 8(a) professional consulting firm, that focuses on employee growth in collaboration with client delivery. Our portfolio ranges from support work with Health and Human Services to highly skilled Defense consulting. We have recently been awarded as one of INC.5000's fastest growing companies and received multiple best places to work awards. How can you help shape TACG?
Position Summary:

TACG is looking for a Data Scientist to support the business in defining information/data requirements to allow for the design, development, testing/evaluation, implementation and sustainment of critical business applications and IT capabilities. The Data Scientist will provide technical expertise in Business Intelligence (BI) tools and programming languages to support data analytics, data visualizations, and predictive analysis.

Responsibilities:
Applies analytic methodologies and principles to address client needs.
Applies analytic techniques in the evaluation of project objectives and contributes to the implementation of strategic direction.
Performs analyst functions including data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Performs data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Required Knowledge, Skills and Experience:
Excellent analytical skills
Experience using SQL, Python, and R languages for statistical analysis
Experience using Tableau Desktop, Prep Builder and Reader for the generation, sustainment and viewing of data visualization dashboards
Experience in ETL, specifically with data resident on SharePoint
3 years of experience with a Bachelor's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering; or, 1 year of experience with a Master's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering.
Education & Certification Requirements:
Four year degree or a Master's Degree in Computer Science, Business, Management or related field
Preferred Skills:
Creative thinker
Strong communication skills
Proficient in MS Office suite of tools, specifically MS Excel.
Excellent team skills.
Experience or understanding of AF or DoD processes, data and systems
Disclaimer:
The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.

Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
All work will be performed in an office environment.
Physical Requirements:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The employee is frequently required to talk or hear. The employee is occasionally required to stand, walk; reach with hands and arms to stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by the job include close vision.
Citizenship: United States
Security Clearance: NACI background will be required
Percent of Travel Required: Up to 10%
FLSA Status: Full-time, Exempt
Benefits:
We understand that our employees make us the great company we are, so we want to give back as much as possible. Whether it's our flexible wellness program that gives you the power to do what makes you happy or focusing on career development utilizing our tuition reimbursement, we're sure to have every benefit you're looking for, to also include; matching 401(k), Medical, Vision, and Dental Coverage and much more!

TACG is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",4.7,"TACG Solutions
4.7","Dayton, OH",-1,51 to 200 Employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
5,Data Analyst,"$59k-$73k
(Employer Est.)","Data Analyst

Job Details
Job Location
Yakima - Yakima, WA
Position Type
Full Time
Education Level
Bachelor's degree
Salary Range
$58,900.00 - $73,600.00 Salary/year
Job Shift
Day
Job Category
Information Technology
Description
Who is Comprehensive Healthcare?
Comprehensive Healthcare provides innovative behavioral health and integrated healthcare services to clients of all ages. We take pride in our creative and collaborative work environment and in delivering clinically excellent, trauma-informed, recovery-oriented services.

What are we looking for in a Data Analyst?
As a member of the Information Services department, the Data Analyst supports Comprehensive’s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. This position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. The work of the Data Analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. Previous experience performing data analytics in the healthcare field is required. The Data Analyst will work on-site in our Yakima office.

Data Analyst duties may include:
integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications
analyzing data to identify and interpret patterns or trends in data sets
performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements
assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements
supporting the implementation, testing, and validation of data & software systems
assisting with ongoing data architecture processes & governance
providing Tier II technical support to employees
documenting all work as it is completed
Qualifications:
Bachelor’s degree in computer science, data analytics, or related field
Three years of experience with data analysis within the healthcare industry
What Comprehensive Healthcare Can Offer You
Training and Development
A variety of career opportunities in a wide range of settings with room for mobility and promotion
Regular training opportunities including support, supervision, and consultation in implementing evidence-based services and programs
Innovative Program & Services
A strong reputation for providing quality, evidence-based services within a collaborative multi-disciplinary team environment
Innovative, forward-looking leadership that seeks to thrive in an ever-changing healthcare environment
Joint Commission-accredited organization committed to continuous quality improvement
Established partnerships with major research universities and other community and healthcare providers to implement cutting-edge treatment programs and services
Excellent Benefits
Competitive salaries within our communities and industry
Healthcare coverage for employee and qualified family members
Generous vacation, paid holiday and sick leave policies
Access to Employee Assistance Program services
Agency-funded retirement plan with contributions equal to 5% of compensation
Additional retirement investment opportunities with a 50% investment match of up to 4% of compensation
Agency-funded life and disability insurance program
Equal Opportunity Employer
Comprehensive Healthcare is proud to be an equal opportunity employer. We do not discriminate based on race, sex, age, color, religion, national origin, sexual orientation, gender identity or expression, marital status, veteran status, disability status, or any other basis prohibited by federal, state, or local law. We value the diverse perspectives and strengths that our employees bring to the workplace and we encourage individuals from underrepresented groups to apply for our positions. The Human Resources department offers accommodations and assistance for the application and interview process; please contact us at (509) 575-4084 to make arrangements.",3.3,"Comprehensive Healthcare
3.3","Yakima, WA",-1,501 to 1000 Employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
6,Senior Business Intelligence Analyst,"$46k-$93k
(Glassdoor Est.)","Position Overview:

The Senior Business Intelligence Analyst is responsible for turning data into knowledge, enabling business decisions.

Specific Duties Include:
Partnering with the user community to create new business intelligence, reporting and data analysis solutions.
Maintaining existing software systems related to business intelligence, reporting and data analysis.
Identify improvements to existing business intelligence, reporting and data analysis.
Capture, develop, and document data definitions, business rules, and data quality requirements.
Build and maintain ETL (Extract, Transform, Load) and integration processes.
Validate data delivered to user community.
Ensure compliance with Protolabs data and software policies and procedures.
Monitor software systems to ensure reliability and accuracy of information loaded into the databases.
Maintain all documentation related to database objects, source systems, and operations.
Conduct complex, important work under minimal supervision and with wide latitude for independent judgment.
Minimum Qualifications:
6+ years of experience working in software engineering
Experience with Microsoft SQL Server
Experience with Domo
Experience with PowerBI
Experience with Microsoft SQL Server Reporting Service (SSRS)
Ability to work on multiple project concurrently
Ability to manage time effectively
Strong written and verbal communication skills
Ability to work effectively in a fast paced, collaborative environment
Education Requirements:
Bachelor’s Degree in Computer Science, Software Engineering, or related field
Preferred Qualifications:
Previous leadership experience preferred
Knowledge of document databases including Raven
Previous experience with Microsoft Dynamics AX
Previous experience with Salesforce
Software development in a continuous integration and continuous deployment environment
Proto Labs maintains ITAR-compliant operations in all of our United States based facilities. Due to ITAR regulations, this role is only open to U.S. Citizens, lawful permanent residents (green card holders) or foreign nationals granted refugee or asylee status. Individuals with temporary visas (e.g. E, F-1, H-1, H-2, L, B, J, TN or OPT) are not eligible for hire in this role.

Proto Labs, Inc. is an Affirmative Action / Equal Opportunity Employer",2.1,"Rapid Manufacturing
2.1","Nashua, NH",-1,201 to 500 Employees,-1,Company - Private,-1,-1,$25 to $50 million (USD),-1
7,Data Scientist,"$55k-$93k
(Glassdoor Est.)","Sartorius Stedim Data Analytics, a market leader in advanced analytics and provider of Umetrics Suite of Data Analytics Solutions, is on a strong growth path driving new innovative solutions in the field. It currently has an outstanding opportunity for a Data Scientist to drive customer applications, support the Sartorius sales teams and feedback customer needs into the development of new solutions. The incumbent for this key role will have a strong customer focus to help secure innovation and growth from both new and existing customers.

What you can look forward to
Assisting customers in solving business related problems using advanced data analysis and data driven technologies
Supporting implementation of advanced analytics in industry
Analyzing large amounts of data and building data driven models
Initiating, leading and driving customer projects
Training customers on the use of our software
Supporting sales (pre/post)
Supporting marketing & development
Performing regular follow up with customers to track satisfaction, secure project momentum and discover additional opportunities
Creating technical documents
Attending and presenting at conferences, seminars and forums
Developing & cultivating strong relationships with external and internal stakeholders
Being part of a team of data scientists
Skills and experience
Minimum of a bachelor's degree (master’s degree preferred) in a relevant field (engineering, life sciences, informatics, automation/control, etc.)
Minimum two years’ work experience within Biopharma or Pharma
Minimum two years’ working knowledge of applied statistics including MVDA, DOE, MSPC, PAT, QbD, Model Predictive Control (MPC), MMPC, AI/Machine learning
Strong bioprocess knowledge preferred
Familiarity with Umetrics Suite of Data Analytics Solutions preferred (MODDE, SIMCA, SIMCA-online, Control Advisor, Active Dashboard)
Working knowledge of prescriptive analytics a plus
Working knowledge of Python scripting preferred
Working knowledge of MATLAB, data historians and control strategies a plus
Teaching, consulting and project management experience a plus
Excellent communications skills, strong presentation skills
Comfortable working independently
Comfortable working from home office, willingness to travel (~25%)
Strong identification with Sartorius core values: sustainability, openness, enjoyment
Driving our future growth requires talented people. Sartorius is a dynamic organization suited to people who want to showcase skills, be recognized for expertise and thrive in a vibrant and innovative environment.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex or national origin. We are also an equal opportunity employer of individuals with disabilities and protected veterans.

Please view equal employment opportunity posters provided by OFCCP here

E-Verify Participation Info

E-Verify Workers Rights

Interested? Driving our future growth requires talented people. Sartorius is a dynamic organisation suited to people who want to showcase skills, be recognised for expertise and thrive in a vibrant and innovative environment.

To find out more about Sartorius as an employer visit us on Sartorius Careers

Become part of our global team.",3.6,"Sartorius
3.6","New Oxford, PA",-1,5001 to 10000 Employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1
8,Environmental Project Scientist - Level II,-1,"Ransom Consulting is seeking an experienced *Environmental Project Scientist (Level II) *to join our team of environmental scientists and engineers. The Project Scientist will bring their strong knowledge of environmental and geological principles to assess and oversee complex environmental contamination scenarios.

Responsibilities will include:
Oversees site drilling and sampling including site preparation, determination of well and boring placement, and coordination and providing direction to subcontractors on site (drillers, excavators, etc.) to ensure that work is completed timely and according to Scope of Work (SOW) and applicable regulations. Uses experience and judgment to make decisions on increasingly complex technical issues related to the project.
Conducts site reconnaissance to identify contaminants and other environmental risks as well as collecting and compiling documents to support of due diligence reports.
Develops and presents findings and recommendations using approved templates and formats (e.g. tables, project logs, site data) and in accordance with the QA/QC process. Prepares all letters and reports for the project ensuring accuracy, formatting consistency, etc. and presents to the Sr. Project Manager for final review/approval before presentation to client.
Provides peer review of reports/letters, etc. within technical capability and expertise.
Provides training to staff on appropriate field work procedures and equipment operation, as well as documentation and analysis of findings.
Follows designated procedures for sampling and data collection to ensure thorough analysis and presentation of site risk.
Follows all health and safety protocols.
Successful candidates will have:
Bachelor’s or Master’s degree in environmentally oriented field (geology, environmental science, hydrology, engineering, etc.). Master’s degree preferred.
3-6 years of experience in a scientist/engineering role.
Understanding of environmental and geologic principles relative to environmental contamination and remediation.
Extensive knowledge of federal, state and local environmental regulations. Ability to research and develop understanding and application of new regulations or regulations in a new technical area.
Skilled with field sampling equipment operation and application; field screening procedures, sample collection procedures and subsurface investigation methods.
Ability to train staff on equipment, procedures, and SOPs.
Ability to confidently lead staff and contractors on multiple, complex site events to successful completion.
Ability to collect and interpret data, draw preliminary conclusions, and make recommendations based on understanding of project and client requirements.
Strong writing skills and the ability to present complex technical information in audience appropriate language and format.
Strong interpersonal skills to work effectively with co-workers, clients, sub-contractors, vendors to meet project objectives.
Physical Requirements and Work Conditions
The position includes field and office work (app. 60/40). For field work, employees must be able to stand, walk, and use arms and hands to operate equipment. Employee must be able to work in a variety of temperatures and weather conditions (cold, heat, rain, snow) and lift standard field equipment and supplies of up to 50 pounds alone or collaboratively.
The employee is required to drive to job sites and must have the ability to travel on short notice as well as the ability to travel to locations that may be 2-3 hours from the home office on a regular basis. There may be occasional overnight travel.
A valid driver’s license and reliable transportation is required. (A driver’s license check will be conducted upon hire and annually thereafter).
Noise protection and other PPE, including protective clothing or respirator, may be required on job sites.
Employee must maintain OSHA HAZWOPER certification and participate in the Medical Monitoring program.
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
Ransom has implemented full infection control and response plans for our offices and for when employees do field work that reflect CDC guidance.

Experience:
environmental science: 3 years (Required)
Education:
Bachelor's (Required)
License:
Driver's License (Required)
Work authorization:
United States (Required)
Application Question:
If you do not currently live within commuting distance of Providence, please describe your relocation plans.
Company's website:
www.ransomenv.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",-1,Ransom Consulting Engineers and Scientists,"Providence, RI",-1,-1,-1,-1,-1,-1,-1,-1
9,Data Scientist,-1,"About Us

Mindoula is a next-generation behavioral health management company that delivers tech-enabled, team-based 24/7/365 behavioral health support across the continuum of care. We are building the best population health management and analytics platform by using the latest technologies in big data and data science. Also, we are developing a comprehensive platform to address the needs of pre and post hospital care for large populations.

We are currently seeking to fill in multiple roles in technology and data to help build great technology helping Mindoula to grow faster.

About You

We are looking for a talented data scientist who has a great passion for solving business problems by providing data insights through data modeling and analysis. You will work with senior leadership and data/technology teams to understand and solve complex business problems by developing data models and various techniques to analyze the health populations.

Responsibilities:
Derive insights from data analysis and modeling using multiple datasets, derived from the company platform, data provided by our customers etc.
Develop a comprehensive profile of the patient/member using the data available.
Apply statistical techniques to understand health data and analyze outcomes.
Apply data science algorithms and techniques to understand the member profile and prepare the data such that these insights help the care management team in addressing needs of our customers and members.
Be part of the data team, collaborate with product and engineering teams in developing the data required to support the functionality and new features of our platforms.
Must be self-driven and a quick learner.
Requires strong problem-solving, analytical and communication skills.
Healthcare data experience (claims, groupers) is a plus.
Technologies:
Data science: Analysis/Machine learning/AI algorithms and modeling.
Data Platforms: Spark, Python/Scala.
Strong SQL experience.
Databases: Postgres, Microsoft SQL Server
Hosting: Microsoft Azure
Tools: Github, CircleCI, CodeClimate
Requirements:
Minimum 3 years of experience in position
Healthcare experience with managing claims data
Compensation:
Competitive salary.
Generous benefits
This position is open to both as an employee or as a contractor/consultant.",3.8,"Mindoula Health Inc
3.8",Maryland,-1,51 to 200 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
