,Job Title,Salary Range,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Machine Learning Engineer,-1,"Machine Learning Engineer Northern, VA

Machine Learning Engineer

NuWave Solutions is seeking Machine Learning (ML) Engineers to produce automated anomaly/object detection and characterization, forecasting, optimization, and recommendation solutions to national security challenges using modular, cloud-native, API-centric approaches. These solutions will support next-generation defense and intelligence operations with a focus on incorporating machine learning insights to automate and scale analysis and improve decision support. Teams will be working in a highly collaborative environment and expected to identify opportunities to apply and improve data-driven insights and support related design and development within big data environments. Other responsibilities include:
Engage with mission owners/operators to discover applications for ML, set project expectations, define requirements, and review results
Design and develop reusable workflows for data integration, transformation, and feature engineering required to train models
Train and validate models, often in big data, distributed environments
Perform exploratory data analysis to understand data and model-derived insights
Perform model introspection to understand model behaviors and explain predictions
Visualize data and model-derived insights to communicate internally and externally
Integrate models into operational systems
Lead trade studies, analyses of alternatives, and assessments of existing systems
Develops or provides input to engineering artifacts
Requirements
Active Top-Secret clearance required
Minimum (positions are available at multiple levels of seniority) of a bachelor’s degree and 5 years of experience in a science or engineering field
Ability to describe the data assumptions and processing steps of common machine learning methods, and which methods are appropriate for a variety of use cases
Expertise with ML libraries, like Scikit-learn, Pandas, Numpy, PySpark, MXNet, MLib, and Weka
Experience with ML platforms, like KNIME, Spark, SageMaker, H2O, and TensorFlow
Familiarity with Java, Python, and SQL including related ecosystems and frameworks, like Eclipse and Jupyter Notebook
Familiarity with visualization tools, preferably Qlik, Tableau, Plotly, Kibana, Matplotlib, and QGis
Strong problem-solving skills
Strong written and oral communications skills
Able to work independently and self-identify tasks
Ability to review and maintain existing code and applications
Ability to research and evaluate new concepts and processes to improve performance
Preferred Skills
Familiarity with time series forecasting
Familiarity with distributed platforms (i.e. HBase, Kafka, Spark, NiFi) and the cloud (i.e. AWS, GCP, Azure), preferably Amazon Web Services
Familiarity with no-SQL databases like Neo4j, ElasticSearch, or Cassandra
About NuWave Solutions

NuWave Solutions is a recognized leader in providing anticipatory intelligence and advanced data analytics to the defense, intelligence, and private sectors for over 20 years. Leveraging artificial intelligence and machine learning methodologies, NuWave Solutions streamlines the Data-to-Decision lifecycle faster than traditional practices allowing clients to take action with confidence.

For more information on how NuWave Solutions supports its clients and builds upon success, please visit https://www.nuwavesolutions.com

Position Details

Locations of Positions: Reston, McLean, or Herndon, VA; Joint Base Andrews-Bolling, DC; Suitland, MD

Travel Required (CONUS/OCONUS): CONUS

If Travel is required, how much? 5%

Work Schedule: Day Shift

Authorization to work in US is required

8570 Requirements: N/A

NuWave Solutions is an Equal Opportunity Employer/Veterans/Disabled

Tagged as: Machine Learning Engineer",4.4,"NuWave Solutions
4.4",Virginia,-1,51 to 200 Employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
1,Senior Machine Learning Engineer,"$123k-$146k
(Glassdoor Est.)","Entefy’s Senior Machine Learning Engineer is a highly visible position internally and externally. This is where your deep experience and great insights intersect with an amazing opportunity to shape the future of communication and digital interaction.

Skills and Experience:
We’re not looking for “good;” Entefy is on a mission for best. The success of this mission depends on its team members to be creatively analytical, insatiably curious, and absolutely fearless in tackling big challenges.
Requirements
5+ years of experience in Machine Learning tools and algorithms specially in unstructured data classification and clustering
Proficient knowledge of and experience with AI systems
Demonstrable expertise in multiple programming languages such as Python, C++, Java, etc.
Masters or PhD in Computer Science in Machine Learning or related field preferred
Proficiency in Machine Learning open source tools
Proficiency in Machine Translation
Proficiency in Social Text Mining
Proficiency in SQL and non-SQL databases
Proficiency in Data Visualization tools
Visit www.entefy.com and www.blog.entefy.com",4.3,"Entefy
4.3","Palo Alto, CA",-1,1 to 50 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
2,"Senior Data Scientist, Zoro",-1,"Company Summary:
Zoro.com is an eCommerce company that sells business supplies, equipment, and tools—but we’re much more than just a website. We’re a team of people who win and lose together (we prefer winning!). Since 2011, Zoro has been working hard to make it easy for our customers to purchase everything they need to make their businesses go. Zoro currently offers 3 million products, fast and free shipping, no-hassle returns, and exceptional customer service. We’ve grown quickly in a short time, recently surpassing 400 team members and reaching annual revenue of over $500 million. Add to that our award-winning culture—we were named a Great Place to Work for 2019-20, among other accolades—and we think Zoro is a pretty amazing place to work and grow.

Primary Function:
Our Sr. Data Scientists are key contributors to the development of Zoro’s customer, product, eCommerce, and pricing plans. The Data Science team covers a broad scope of projects including customer segmentation, A/B testing, marketing investment optimization, predictive modeling, promotion forecasting, and pricing analysis. We are closely integrated with our business leaders and support their ability to make critical decisions. At Zoro, you will be challenged by new questions every day.

Duties and Responsibilities:

Lead data science projects from beginning to end: develop and refine the idea, create a project plan and methodology, collaborate with business partners, execute, and provide recommendations for the company
Collaborate with other data scientists to develop and implement algorithms, write code, evaluate relevant academic research, and deliver outputs
Advise the company about tools, data sources, and best practices to facilitate digital marketing, pricing, and web analytics
Build predictive and inference models using Python and R to support business initiatives in the areas of customer acquisition, activation, engagement, retention, or channel investment optimization
Document code and data science processes that are critical to the company, and develop strategies to ensure those processes are robust and fault-tolerant
Communicate findings to business leaders and colleagues using data visualizations, presentations, and written means

Qualifications:

Experience leading data science projects that have a direct impact on company objectives
Demonstrated ability to assist business decision-making through data mining and machine learning
Strong communication skills to collaborate effectively with business stakeholders. Must be able to interact cross-functionally and drive both business and technical discussions
5+ years’ progressive business experience in areas including marketing analytics, database marketing, data mining, or statistical modeling. Experience using data science or advanced analytics in an Internet retailer or a top-tier consumer-focused company is required
Ability to translate complex business problems into project plans and solve them by analyzing large amounts of data
Familiarity with Python or R for statistical modeling, clustering, classification, machine learning, and data mining
Demonstrated proficiency in SQL and cloud-hosted data platforms (Google Cloud Platform, AWS, etc)
Familiarity with BI tools such as Tableau or Looker, and ability to communicate results to business partners
Master’s degree preferred in quantitative fields such as Statistics, Engineering, Operational Research, or Economics
Knowledge of web tracking technology and web analytics tools (Google Analytics, Adobe Analytics, etc.) a definite plus

Final note: We share a commitment to our Zoro values – Win & Lose Together (We prefer winning!), Take Ownership, We Are Transparent, and Aspire to be Customer-Obsessed. Everything we do at Zoro is centered around delighting our customers. It's a natural extension of our company culture and how we care for each other. We believe when we act in ways that are consistent with these values, we can solve any technical challenge that lies ahead of us. As a Zoro employee, you can expect to work with smart, energetic people, learn something every day, and be valued for your perspective.

Zoro is an Equal Opportunity Workplace and an Affirmative Action Employer.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",2.0,"Zoro Tools
2.0","Chicago, IL",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
3,Principal Systems Engineer,-1,"About:
Would you like to be part of the new space movement? Are you a rock star engineer? Do you have the leadership gene? Raytheon Intelligence and Space is the place for you. In the last few years you might have seen in your social media feed amazingly beautiful images of the Earth from space in exquisite detail. Or perhaps images in the news forecasting the weather and reporting on natural disasters. Maybe youve even gazed at images from deep space wondering when humans will journey to the farthest reaches of the universe. Behind many of these amazing images are the technologies and innovations created by the engineers at Raytheon Intelligence and Space. Situated in sunny Southern California, a location rich in aerospace history, we have unparalleled heritage in advanced sensing systems for space exploration, national security and civil space. We are actively seeking engineers to help evolve our technology and grow our business into new domains and markets. Are you up to the challenge? Were looking for you.

Job Description:
The RF Algorithm Engineer provides the full range of systems design and analysis-related activities in support of SAS RF programs. These activities include:
Development of mathematical algorithms for RF signal processing and calibration
Modeling and simulation of sensor physics and phenomenology to predict performance
Development of system and/or subsystem requirements
Data analysis of hardware under test or in operations
Design and development of RF waveforms
Creating technical presentations to both internal and external customers
Participating in customer and/or program technical reviews
Technical team leadership participating in technical peer reviews throughout the product lifecycle of design, development, integration and test, and requirements verification
Required Skills:
Minimum 8 years of relevant experience in systems engineering and/or algorithm development
Knowledge and experience of basic RF operations: Filtering, Pulse Compression, Calibration, and/or Antenna Array processing
Knowledge of RF signal processing techniques, experience developing advanced mathematical algorithms, analytic techniques and computer simulations
Able to effectively multi-task and prioritize actions
Proficient in Matlab, C++, Python, or related programming languages
Strong written and oral communication skills
U.S. Citizenship and ability to access to US only data systems
U.S. Citizenship status is required as this position requires an active U.S. Security Clearance as of Day 1 of Employment
Active DoD Secret Clearance
Desired Skills:
Experience in RF design, development, integration and test (system verification)
Experience in hardware and/or software development of embedded, real-time systems
Experience in digital pre-distortion, advanced coding and modulation, and channel equalization schemes/techniques
Experience in space-time adaptive processing
Experience in system requirements development
Experience in machine learning, artificial intelligence, deep learning, convolutional neural networks
Technical publications and/or patents
Education:
Bachelor's degree in Engineering, Physics, Math, or related STEM discipline; advanced degrees preferred

#SESpaceElSegundo
#IdeasInOrbit
SESpaceElSegundo
IdeasInOrbit
#Space2020 163222

Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.5,"Raytheon Intelligence & Space
3.5","El Segundo, CA",-1,10000+ Employees,2020,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
4,Sr. Data Engineer - Cloud Services,-1,"About 2nd Watch

2nd Watch is an AWS Partner Network (APN) Premier Consulting Partner and Microsoft Azure Gold Partner providing professional and managed cloud services to enterprises who need to transform their business to become more agile and innovative. The companys subject matter experts and software-enabled services provide companies with tested, proven, and trusted solutions with a focus on five solution areas: Enterprise Cloud Migration, Security and Compliance, Cloud Native and DevOps, Optimization, and Managed Services. The venture-backed company is headquartered in Seattle, Washington. To learn more about 2nd Watch, visit www.2ndwatch.com or call 888-317-7920.

Why 2nd Watch

2nd Watch is in growth mode, and we are looking to build out the Data and Analytics Practice. We are looking for like-minded, focused team members to join us! We offer roles ranging from all levels in our Sales, Managed Cloud Services, Cloud Enablement, DevOps, Product Development teams and beyond. We are looking for superstars and are raising the bar setting industry-level standards around AWS and Azure services, product management and delivery.

Where you fit:

2nd Watch has a unique company culture and working environment that live and breathe success and promote pushing the envelope every day in your respective role at the company. This is what drives our teams. Getting our attention takes creativity, ingenuity, a desire to improve each day, and a track record of caring about who you are affecting, both positively and negatively, while you are getting the right stuff done.

We are looking for a the most technically forward-thinking, cloud-passionate employees in the world and work daily to align our core values with those that we hire - Fearlessness, Tenacity, Humility, Customer Focus, Empowering One Another, Working Together, Winning as a Team, Honesty, Transparency, Having FUN these are all key elements to who we hire.

Position Title:

Sr. Data Cloud Consultant:

The ideal candidate is someone who

· Operates with the highest levels of integrity

· Thinks Big and takes on Big Challenges

· Has a continuous thirst for knowledge and is a perpetual learner

· Strives to make themselves and everyone around them better

· Has a passion for technology

Expertise you bring:
Owning the technical engagement and ultimate success around specific implementation projects.
Developing a deep expertise in enterprise cloud technologies and services.
Being subject matter expert and taking on a consultative role as it pertains to cloud adoption.
Ensure that our applications and infrastructure are designed and implemented to the highest security standards thus maintaining and enhancing customer trust
Evangelize security within 2nd Watch and be an advocate for keeping customer information secure
Demonstrated ability to think strategically about business, product, and technical challenges
Other duties as assigned
Specialized Knowledge & Skills Requirements
Demonstrated experience building and maintaining cloud-native data lakes
Demonstrated experience providing customer-driven solutions, support or service.
In-depth knowledge of SQL or NoSQL and experience using a variety of data stores (e.g. RDBMS, analytic database, scalable document stores)
Extensive hands-on Python programming experience, with an emphasis towards building ETL workflows and data-driven solutions.
Able to employ design patterns and generalize code to address common use cases. Capable of authoring robust, high quality, reusable code and contributing to the divisions inventory of libraries.
Expertise in big data batch computing tools (e.g. Hadoop or Spark), with demonstrated experience developing distributed data processing solutions.
Applied knowledge of cloud computing (AWS, GCP, Azure).
Familiarity with open source machine learning toolkits, such as sklearn, Keras, or TensorFlow.
Applied knowledge of data modeling principles (e.g. dimensional modeling and star schemas).
Understanding of relational database internals
Experience using tools for infrastructure-as-code (e.g. Docker, CloudFormation, Terraform, etc.)
Experience with software engineering tools and workflows (i.e. Jenkins, CI/CD, git).
Education and Licenses
Bachelors degree in computer science or related field, or equivalent combination of education and experience.
Powered by JazzHR",3.9,"2nd Watch, Inc.
3.9",United States,-1,201 to 500 Employees,2010,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
5,"Senior Software Engineer, EvalML","$74k-$148k
(Glassdoor Est.)","About Alteryx

Alteryx develops software for data preparation and analysis, including a number of server solutions for model deployment, collaborative work on data, and scheduling of automatic data processing. We're revolutionizing data analytics by providing a complete end to end, self-service platform that allows users to get from business questions to business answers at incredible speeds. Why work for just any analytics company?

At Alteryx, we are explorers, dreamers and innovators. We're on a journey to build the best analytics platform in the world, but we can't do it without people like you leading the way. We want Alteryx to be recognized as much for our dynamic work culture as for our products.

About Alteryx Innovation Labs

The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs. This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.

Position Overview

As a Senior Software Engineer on the AutoML team, you’ll be directly responsible for building a core machine learning library which powers Alteryx’s current and future products. You should be comfortable with the challenges of engineering systems for machine learning technologies, adept at software design and implementation, and readily able to solve complex challenges with mathematical dependencies.

Responsibilities
Maintain and improve the quality and performance of the AutomML package
Design, build and validate new machine learning pipelines
Author new features, from conception and design to implementation and testing
Integrate AutoML with other products and services
Promote a culture of rigorous software development practice and high quality standards
Be part of a dynamic, friendly and ambitious team with technical influence throughout Alteryx and beyond
***The company will not provide sponsorship for work visas or other employment authorization for this position***

Required Qualifications
Minimum 3 years experience as a software engineer
Experience writing production-quality code in Python
Experience with a broad variety of machine learning algorithms
Understanding of the math which powers machine learning and data analysis in general
Experience with data-related Python tools like NumPy, SciPy, Pandas, Scikit-learn, and Dask
Experience with debugging complex software issues and mathematical systems
Preferred Qualifications
Experience with AutoML algorithms and products
Experience with performance testing machine learning systems
Experience with API design
Experience building systems for distributed computation
Benefits & Perks
100% company-paid medical, dental, and vision for associates
Company matched 401(k)
Associate stock purchase plan
Paid time off: 3 weeks’ vacation, 5 sick days, 9 holidays, 3 floating holidays, and 20 hours volunteer time
100% paid parental leave
Tuition reimbursement
Wellness programs with up to $300 fitness reimbursement annually
Collaborative offices stocked with healthy snacks and drinks
Office events, catered lunches, and happy hours
#LI-JE1",3.6,"Alteryx
3.6","Boston, MA",-1,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
6,(Sr.) Data Scientist -,-1,"Thursday, June 11, 2020

Merrick Bank is a top-25 credit card issuer and merchant acquirer in the VISA/MasterCard networks, and a major recreational vehicle lender.
The Bank is a Utah Financial Institution and a member of the FDIC.

At Merrick Bank, we specialize in credit programs that assist people looking to build or rebuild their credit. We are FDIC insured and recognized as a top-20 issuer of Visa® cards. In total, we proudly serve over 2.4 million cardholders and have extended over $5.3 billion in credit.

Our Mission is to make a positive difference in the lives of our customers, our employees, and our community. We work hard to create a work environment that empowers our associates to grow, learn, and reach their potential.

This position is a member (or, a senior member, depending upon qualifications) of the Data Science and Modeling team, and will support and work with other members of the team to produce the models, reports, and analysis as required for the bank. Data science, machine learning and statistical programming are the core competencies of the position, but in addition, the applicant should work well with others, have a desire to learn, be self-motivated, and have excellent communication and presentation skills.

REQUIRED SKILLS, ABILITIES, KNOWLEDGE, AND EXPERIENCE:
Master's degree in a relevant quantitative field, or a bachelor’s degree with a significant amount of relevant work experience.
Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement.
Expertise with R or Python is required.
Experience with any of the following computer languages is also desirable: CUDA, FORTRAN or C/C++, SAS, SQL, Unix shell scripting, or LaTeX.
Experience with HPC (High Performance Computing), or Parallel Computing would be a plus. Experience with SLURM would be outstanding.
Experience in the banking industry, specifically in credit cards, is not necessary, but would be desirable.


PRIMARY DUTIES:
Statistical programming, model development and implementation.
Communicating results, both verbally and in writing.
Work both individually and in a collaborative manner with a team.
Designing, validating, and improving data driven decision making processes and strategies.
Building key metrics and modeling reports for communication with executives.
Compliant with Laws & Regulations.

What’s in it for you:

Competitive salary (DOE)

Benefits package -Medical, Dental and Vision (plus much more)

401(k) Plan with Company Match

Short & Long Term Disability

Group Life and AD&D Insurance

Paid Vacation, Holidays, and Personal Days

Employee Events, including Employee Appreciation Day, Holiday Party, etc.

Tuition Reimbursement Program
Candidates must have unrestricted authority to work in the
United States without sponsorship.

Merrick Bank is an equal opportunity employer. We evaluate qualified applicants
without regard to race, color, religion, sex, national origin, disability,
veteran status, and other legally protected characteristic. The EEO is the
Law poster is available here: http://www1.eeoc.gov/employers/poster.cfm

Please go to our website www.merrickbank.com to apply and learn more about our company

We are an equal opportunity employer. Merrick Bank will do a thorough background check for all hires. This includes a review of your personal credit history, drug testing, background check, and employment/personal references. A good credit history is important.

Other details
Job Family
Account Acquisition & Data Science
Pay Type
Salary",3.5,"Merrick Bank
3.5",Utah,-1,201 to 500 Employees,1997,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
7,Biological Data Scientist,"$56k-$97k
(Glassdoor Est.)","*Organization and Job ID**
Job ID: 311168

Directorate: Earth and Biological Sciences Directorate

Division: Biological Sciences

Group: Biological Systems Science
*Job Description**
The new Computational Biology Group at the Pacific Northwest National Laboratory (PNNL) is seeking a senior data scientist to join our team to execute on existing projects as well as lead in the development of new research proposals. Expertise in statistics, analysis of omic data, biomarker discovery, software development, proposal development and working in multidisciplinary teams are highly relevant.

The data scientist will contribute to diverse fundamental science research programs studying human health problems such as cancer and infectious diseases as well as microbial communities and environmental microbiology. The candidate will be responsible for data analysis from various high-throughput omics platforms, such as DNA/RNA sequence data, proteomics and metabolomics. The position involves technical work with complex multi-omics data from ongoing studies, focusing on application of methods for analysis, data integration, and machine learning. The incumbent will define and carry out the application of existing methodologies, as well as perform original research in the field of computational biology as needed to extract meaning from complex biological data. In addition to technical research, this position expects participation in publishing, project leadership, and business development.

The ideal candidate should have a strong statistics and programming skills with knowledge of fundamental basic biology. The candidate should have good communication skills with a demonstrated capability to perform multi-disciplinary, collaborative research. The candidate should also have an interest in applying new approaches and knowledge to science problems associated with human health, bioenergy, and carbon cycling. The candidate should be highly proficient in at least on programming language (Python, R, e.g.) and have experience in software development practices (version control, unit testing, etc.).
*Minimum Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 years of experience
*Preferred Qualifications**
+ MS/MA or PhD in statistics, biostatistics, bioinformatics or a closely related field.

+ Significant experience with software development tools (GitHub) and Python or R development experience

+ Demonstrated ability to collaborate within and across institutions
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Closing Statement**
+ U.S. Citizenship

_Directorate:_ _Earth & Biological Sciences_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Biological Systems Science_

_Opening Date:_ _2020-09-04_

_Closing Date:_ _2020-10-14_",3.9,"PNNL
3.9","Richland, WA",-1,1001 to 5000 Employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),-1
8,Data Scientist,-1,"About Us

Mindoula is a next-generation behavioral health management company that delivers tech-enabled, team-based 24/7/365 behavioral health support across the continuum of care. We are building the best population health management and analytics platform by using the latest technologies in big data and data science. Also, we are developing a comprehensive platform to address the needs of pre and post hospital care for large populations.

We are currently seeking to fill in multiple roles in technology and data to help build great technology helping Mindoula to grow faster.

About You

We are looking for a talented data scientist who has a great passion for solving business problems by providing data insights through data modeling and analysis. You will work with senior leadership and data/technology teams to understand and solve complex business problems by developing data models and various techniques to analyze the health populations.

Responsibilities:
Derive insights from data analysis and modeling using multiple datasets, derived from the company platform, data provided by our customers etc.
Develop a comprehensive profile of the patient/member using the data available.
Apply statistical techniques to understand health data and analyze outcomes.
Apply data science algorithms and techniques to understand the member profile and prepare the data such that these insights help the care management team in addressing needs of our customers and members.
Be part of the data team, collaborate with product and engineering teams in developing the data required to support the functionality and new features of our platforms.
Must be self-driven and a quick learner.
Requires strong problem-solving, analytical and communication skills.
Healthcare data experience (claims, groupers) is a plus.
Technologies:
Data science: Analysis/Machine learning/AI algorithms and modeling.
Data Platforms: Spark, Python/Scala.
Strong SQL experience.
Databases: Postgres, Microsoft SQL Server
Hosting: Microsoft Azure
Tools: Github, CircleCI, CodeClimate
Requirements:
Minimum 3 years of experience in position
Healthcare experience with managing claims data
Compensation:
Competitive salary.
Generous benefits
This position is open to both as an employee or as a contractor/consultant.",3.8,"Mindoula Health Inc
3.8",Maryland,-1,51 to 200 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
9,Machine Learning Services Engineer (MLE),"$104k-$163k
(Glassdoor Est.)","· 2+ years of non-internship professional software development experience
· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
· Masters degree or equivalent work experience in Machine Learning.
· Solid communication skills and ability to work well in a team are critical.
· Advance the design and architecture of our existing systems to make them more maintainable, easy to use, and operationally sound
· Ability to work in a fast paced and agile development environment.
· Work Hard, Have Fun, Make History

Amazon is looking for a passionate, talented, and inventive ML Engineers (Software Development Engineers with a strong ML background) to help invent new machine learning-powered features for Amazon QuickSight. We want to work with you to revolutionize the way people manage, visualize and interact with large amounts of data.
Amazon QuickSight is revolutionizing Business Intelligence by empowering anyone to use the power of machine learning and Amazon AI to enhance their understanding of data. QuickSight can already help discover hidden insights using Anomaly Detection, enable ML-powered forecasting, and use automatic text generation generate business narratives directly from the data. But we're not stopping here, we remain with helping our customers harness the power of artificial intelligence to help them understand and visualize their data.
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age

· Masters or PhD in Computer Science or Engineering with 2+ years of relevant software services development
· Experience and interest in databases, structured records, distributed systems, and Machine Learning on in a structured data context.
· Leadership experience in a team delivering remarkable user experiences in industry leading products
· Work experience delivering one or more version one products",3.9,"Amazon.com Services LLC
3.9","Seattle, WA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
